Sourceid,Targetid,Weights
0,1,199.298
0,2,258.521
0,3,168048.07019700008
0,4,212.655
0,5,75.735
0,6,110.416
0,7,461.276
0,8,495.375
0,9,165448.28779999993
0,10,104.526
0,11,136.641
0,12,224.782
0,13,234.621
0,14,23.576
0,15,81.275
0,16,75.74
0,17,77.301
0,18,1135.1524519999948
0,19,447.437
0,20,50.225
0,21,123.901
0,22,615.277
0,23,2117.658
0,24,259.128
0,25,160.915
0,26,132.638
0,27,27999.230995000034
0,28,617.345
0,29,58.143
0,30,16.105
0,31,134.659
0,32,282.354
0,33,64.452
0,34,50.9
0,35,144.336
0,36,82718.45216399999
0,37,39.365
0,38,1220.099
0,39,1008.303
0,40,214.471
0,41,73.428
0,42,351.959
0,43,84.003
0,44,22941.676375
0,45,108.016
0,46,19.175
0,47,71.041
0,48,166.185
0,49,57.736
0,50,1190.286
0,51,357.159
0,52,69.536
0,53,28.745
0,54,33637.74640699888
0,55,58247.51979
0,56,271.135
0,57,179.83
0,58,180.766
0,59,1075.632
0,60,209.882
0,61,218.08
0,62,278.287
0,63,66.769
0,64,320.349
0,65,303.84
0,66,79.764
0,67,250.211
0,68,448.877
0,69,49.906
0,70,358.327
0,71,613.66
0,72,71.24799999999999
0,73,3567.4602810000006
0,74,1187.589
0,75,37.98
0,76,171.448
0,77,53.798
0,78,61.333
0,79,45.087
0,80,101.787
0,81,72.042
0,82,331.735
0,83,51.28
0,84,98.94
0,85,375.509
0,86,533.691
0,87,781.142
0,88,212.517
0,89,131.259
0,90,226.649
0,91,92.86
0,92,492.543
0,93,204.231
0,94,298.814
0,95,2538.763
0,96,43.366
0,98,33.679
0,99,422.895
0,100,341.619
0,101,224.921
0,102,11151.742835999965
0,103,21037.308000000005
0,104,48668.94193
0,105,107.917
0,106,63.283
0,107,72.025
0,108,124.555
0,109,1118.727
0,110,57.65899999999999
0,111,2448.361
0,112,5015.426019999756
0,113,112.688
0,114,30.062
0,115,154.015
0,116,302.543
0,117,5679.483
0,119,275.675
0,120,107.848
0,121,247.698
0,122,2178.149
0,123,148.795
0,125,126.734
0,126,82.45
0,127,81.011
0,128,378.501
0,129,630.629
0,130,123.274
0,131,34.875
0,132,122.334
0,134,13.222
0,136,51.732
0,137,66.534
0,138,3.448
0,139,51.954
0,140,94.758
0,141,707.05
0,142,290.106
0,143,22038.997260000004
0,144,40.751
0,147,70.081
0,148,950.189
0,149,1856.045
0,150,159.382
0,151,153.199
0,152,21.716
0,153,76.294
0,154,22191.352305
0,155,136.006
0,157,120.28
0,159,38.358
0,160,36.474
0,162,14479.988503000004
0,163,77.247
0,164,63.823
0,166,371.495
0,167,1548.701
0,168,23369.82858
0,169,9480.722295999976
0,170,47.554
0,171,13255.759999999998
0,173,48.923
0,174,8080.262999999998
0,175,14851.84535
0,176,556.5960000000001
0,177,13564.203229999994
0,178,29.964
0,179,86.005
0,181,63.396
0,182,186.982
0,183,67.739
0,186,5224.083
0,187,153.062
0,188,277.659
0,189,480.751
0,190,19210.13374
0,193,502.737
0,194,81.121
0,196,9541.469
0,198,9936.787999999997
0,199,140.552
0,200,47.148
0,201,33.479
0,205,292.9550000000001
0,207,407.243
0,208,4977.235
0,209,352.004
0,213,84.61899999999999
0,217,58.464
0,218,61.88
0,222,74.614
0,223,6247.301000000001
0,224,276.444
0,225,5028.6477300000015
0,226,3870.734
0,228,18.841999999999985
0,229,146.466
0,230,10567.42067
0,231,6260.932000000001
0,232,69.03300000000026
0,233,1018.8640000000008
0,234,5889.161506000001
0,237,86.726
0,238,143.503
0,240,12.81
0,242,80.068
0,245,91.468
0,246,183.201
0,247,59.309
0,248,2111.9828849999994
0,249,11.225
0,251,2061.317000000002
0,254,7787.446160000002
0,255,3666.72
0,256,125.006
0,257,7012.616000000001
0,260,8987.367179999997
0,262,195.911
0,265,2335.537
0,266,58.464
0,268,78.984
0,269,108.75599999999896
0,270,31.585
0,272,109.84
0,274,3530.881
0,275,58.153
0,276,2519.789
0,277,8865.92191
0,278,977.086
0,279,24.745
0,280,478.663
0,283,5633.684
0,286,10.702
0,291,2989.459
0,292,254.689
0,293,4963.202000000001
0,294,230.187
0,296,450.946
0,297,503.181
0,300,4891.214
0,307,4293.760853
0,308,69.15599999999995
0,309,24.376
0,310,4567.365
0,315,7963.151000000001
0,316,75.777
0,317,1.074
0,321,95.135
0,322,3995.1859999999992
0,332,67.659
0,338,4097.009
0,339,2449.956
0,341,47.698
0,342,1562.764
0,344,355.807
0,347,527.081
0,350,2264.0369999999984
0,351,509.468
0,352,583.499
0,353,39.537
0,355,26.856
0,357,1509.115
0,358,1229.762
0,359,2755.748
0,360,3316.699
0,361,39.654
0,365,1570.936
0,367,5424.573
0,374,3692.214
0,379,4123.258668999999
0,382,602.823
0,386,1039.563
0,390,3419.31
0,391,716.027
0,393,83.9380000000001
0,394,66.278
0,396,3905.112
0,401,1903.573
0,406,2503.419
0,411,2577.829
0,414,3268.593566
0,423,2542.132
0,424,916.51
0,429,86.513
0,438,1168.83
0,439,151.777
0,441,1512.653
0,444,1838.233
0,445,976.854
0,448,122.68
0,453,23.588
0,457,2949.981777
0,463,1574.996
0,465,1804.271
0,467,34.814
0,468,1670.675
0,469,2030.501
0,471,1733.032
0,475,1093.73
0,476,2013.569
0,478,1194.091
0,479,263.176
0,481,60.839
0,483,2032.983
0,487,129.449
0,493,440.641
0,496,634.775
0,497,65.697
0,499,570.747
0,502,1887.243
0,505,1267.248
0,509,782.6370000000011
0,512,1364.136
0,513,1321.423
0,520,1285.66
0,526,1866.262
0,535,1976.358
0,537,739.614
0,538,68.52
0,545,1310.946
0,547,641.214
0,548,1076.636
0,550,1112.617
0,555,1333.52
0,556,1280.013
0,557,1297.7430000000002
0,558,846.967
0,559,1751.819
0,569,283.2779999999999
0,571,1071.355
0,573,724.359
0,580,1502.705
0,581,2411.193
0,584,345.2589999999999
0,588,559.769
0,594,1626.565
0,598,15.937
0,599,1037.183
0,605,133.02
0,611,55.573
0,613,1218.328934
0,616,1010.991
0,619,1213.365
0,624,628.626
0,627,1151.568
0,628,1000.055
0,632,1254.966
0,635,296.365
0,639,388.034
0,640,33.368
0,646,21.548999999999936
0,648,144.586
0,651,140.839
0,658,131.879
0,666,1196.677
0,669,504.287
0,677,843.348
0,681,51.023
0,692,454.662
0,699,685.323
0,704,826.659
0,705,1112.097
0,709,996.343
0,711,904.085
0,712,761.495
0,713,697.271
0,715,187.927
0,720,936.622
0,721,1094.816
0,723,970.049
0,725,659.1
0,736,956.496
0,741,1079.797
0,744,650.748
0,745,907.451
0,749,950.189
0,754,637.488
0,756,624.835
0,757,947.11
0,761,919.392
0,763,470.511
0,764,792.359
0,769,829.078
0,771,851.068
0,775,390.85300000000007
0,782,620.739
0,787,473.449
0,788,290.005
0,789,853.166
0,790,629.267
0,791,0.078
0,793,761.636
0,797,474.938
0,814,845.114
0,815,722.885
0,821,668.869
0,823,307.598
0,824,518.481
0,830,924.343
0,831,778.84
0,832,1011.417
0,835,382.163
0,839,668.965
0,840,385.584
0,845,688.935
0,855,685.485
0,861,7024.978
0,870,369.595
0,872,528.253
0,876,637.053
0,888,261.909
0,891,703.246
0,894,964.617
0,898,558.1
0,900,714.678
0,908,462.61
0,911,618.186
0,919,246.262
0,920,585.029
0,922,474.551
0,923,392.553
0,925,508.401
0,929,660.101
0,935,641.342
0,940,690.934
0,945,764.156
0,950,463.604
0,951,864.116
0,952,677.6990000000003
0,953,412.348
0,959,554.723
0,962,9.507
0,968,531.833
0,971,667.004
0,978,649.914
0,979,776.674
0,980,528.406
0,981,584.501
0,989,157.94599999999997
0,990,566.017
0,992,578.228
0,998,249.098
0,1004,386.807
0,1009,661.19
0,1010,379.343
0,1024,473.999
0,1035,488.212
0,1038,259.584
0,1041,93.893
0,1045,453.742
0,1053,387.669
0,1059,524.086
0,1062,246.224
0,1064,181.69
0,1069,391.421
0,1071,444.262
0,1073,209.839
0,1097,474.1120000000001
0,1102,495.173
0,1105,366.359
0,1108,423.352
0,1110,398.312
0,1112,565.078
0,1115,349.588
0,1116,251.167
0,1117,542.385
0,1124,463.054
0,1130,445.32
0,1136,313.716
0,1139,292.753
0,1142,497.837
0,1147,521.133
0,1149,443.396
0,1151,470.015
0,1152,633.251
0,1153,406.258
0,1154,386.5
0,1162,452.937
0,1163,20.362
0,1166,353.636
0,1174,142.219
0,1194,519.884
0,1210,440.967
0,1212,454.226
0,1217,574.178
0,1220,243.28
0,1221,524.871
0,1222,310.656
0,1224,361.868
0,1227,280.12
0,1238,403.606
0,1241,379.383
0,1244,342.682
0,1246,456.057
0,1247,331.762
0,1249,415.023
0,1250,536.173
0,1255,401.082
0,1265,375.419
0,1266,463.866
0,1272,468.259
0,1273,12.31
0,1287,364.349
0,1290,424.113
0,1292,479.406
0,1293,430.354
0,1294,449.513
0,1298,100.447
0,1307,1845.316
0,1308,280.974
0,1310,310.151
0,1315,456.055
0,1319,291.83
0,1327,184.712
0,1340,300.281
0,1341,161.998
0,1345,370.156
0,1353,355.476
0,1361,303.884
0,1365,270.094
0,1368,277.388
0,1372,272.436
0,1377,372.849
0,1389,174.605
0,1391,216.364
0,1394,394.38
0,1402,166.817
0,1410,443.301
0,1424,308.323
0,1434,459.569
0,1448,500.697
0,1450,351.571
0,1452,303.52
0,1458,360.24
0,1464,324.103
0,1468,109.773
0,1471,234.349
0,1476,203.967
0,1479,125.493
0,1480,335.007
0,1484,294.848
0,1485,190.939
0,1490,248.579
0,1497,326.419
0,1500,307.922
0,1502,1003.93124
0,1505,318.986
0,1506,124.752
0,1507,292.684
0,1509,206.706
0,1511,289.712
0,1517,300.472
0,1521,108.936
0,1527,213.989
0,1530,102.973
0,1532,287.532
0,1533,226.72
0,1535,387.576
0,1542,406.533
0,1543,362.128
0,1545,398.778
0,1548,256.942
0,1549,252.257
0,1551,205.924
0,1558,181.63
0,1568,309.606
0,1571,241.418
0,1593,150.789
0,1595,301.299
0,1607,291.236
0,1613,294.393
0,1617,338.495
0,1621,262.933
0,1622,308.517
0,1627,306.989
0,1628,294.33
0,1638,232.23
0,1641,318.637
0,1642,239.097
0,1643,248.937
0,1644,294.985
0,1650,243.043
0,1652,280.81
0,1657,269.546
0,1658,235.086
0,1660,323.107
0,1664,321.161
0,1665,276.714
0,1670,356.753
0,1672,242.352
0,1673,549.377
0,1674,341.967
0,1675,3.5490000000000137
0,1698,288.174
0,1699,289.279
0,1701,295.013
0,1702,338.815
0,1706,256.805
0,1712,327.484
0,1716,325.529
0,1717,290.379
0,1720,134.271
0,1723,169.477
0,1724,273.672
0,1730,205.238
0,1735,144.02
0,1740,346.451
0,1747,113.171
0,1752,171.975
0,1759,274.165
0,1763,312.803
0,1771,196.377
0,1772,278.292
0,1789,316.381
0,1795,265.838
0,1797,299.38
0,1800,156.422
0,1801,175.182
0,1809,298.421
0,1814,197.528
0,1815,297.616
0,1816,128.501
0,1821,319.112
0,1823,196.176
