index,Total_assets,Total_liabilities,Equity,Liquid_assets,Deposits_and_short-term_funding,Long-term_funding,Net_income,Interbank_assets,Interbank_liabilities,Return_on_average_equity_(ROAE),Wholesale_funding,Growth_in_total_assets,Impaired_loans_/_Gross_customer_loans_&_advances,Loan_loss_reserves_/_Impaired_loans,Customer_loans_&_advances_/_Total_assets,Net_charge_offs_(NCOs)_/_Average_gross_customer_loans_&_advances,Unreserved_impaired_loans_/_Total_equity,Total_Common_Equity_/_Core_Tier_1,Total_Capital,Exchange_rate_from_original_currency,Gross_loans_&_advances_to_customers,Wholesale_funding_/_Total_funding_excluding_derivatives,Loans_&_advances_to_customers_/_Total_deposits_&_other_interest-bearing_liabilities,Financial_assets:_Available_for_sale_(AFS),Total_Earning_Assets,Unadjusted_leverage_ratio_(computed),Tier_1_Ratio,Interest_Expense,Tier_1_Capital,Long-term_borrowings_and_debt_securities_at_historical_cost_>_1_year,Impaired_/_Non-performing_loans_to_customers,Other_reserves,Interest_expense_on_customer_deposits,Interest_expense_/_average_interest_bearing_liabilities,Interest_expense_on_customer_deposits_/_Average_customer_deposits,Total_capital_adequacy_ratio,Interest_income_/_average_interest_earning_assets,Interest_income_on_bank_loans_(including_central_banks),Other_administrative_expenses,Interest_income_on_loans_/_Average_gross_customer_loans_&_advances,Other_interest_income,Effective_tax_rate,Total_net_trading_income_(losses)_and_fair_value_(FV)_gains_(losses),Savings_deposits,Total_equity_/_Risk-weighted_assets_(RWAs),Growth_in_net_customer_loans_&_advances,Net_loans_&_advances_to_customers,Net_gains_(losses)_on_other_securities_(including_FV_through_OCI),Customer_deposits_/_Total_funding_excluding_derivatives,Operating_revenue_after_impairments,Net_interest_income_(expenses)_/_Average_total_assets,Liquid_assets_(including_available_for_sale_&_held_to_maturity)_/_Total_assets,Impaired_loans_+_foreclosed_assets_/_gross_customer_loans_&_advances_+_foreclosed_assets,Financial_assets:_Held_to_maturity_(HTM),Risk_weighted_asset_intensity_(RWA_/_Total_Assets),Minimum_risk_assets,Gross_loans_&_advances_to_customers_/_Customer_deposits,Number_of_employees,Net_interest_margin_(average_interest_earning_assets),Loans_&_advances_to_customers_/_Deposits_&_short-term_funding,Profit_attributable_to_group_equity_holders,Interest_income_on_customer_loans_&_advances,Total_other_earning_assets,Total_equity_/_Total_liabilities_excluding_hybrid_capital_and_subordinated_liabilities,Capital_funds_/_Total_assets,Growth_in_gross_customer_loans_&advances,Capital_funds_/_Net_loans_&_advances_to_customers,Time_deposits,Non-interest_income_/_Operating_revenues,Net_interest_margin_(interest_earning_assets),rank_next_quarter
0,2354812000,2097941000,256871000,1111589000,1763962000,104503000,8835000,425715000,173046000,14.915105,326476000,2.725519,0.778831,177.063973,39.926967,0.245798,-2.227577,217622000,225403000,1,953352000,16.831506,47.603075,279815000,2018210000,6.16334,14.9872,4780000,217622000,100694000,7425000,1155000,2901000,0.968696,0.760258,16.1983,4.508753,827000,8367000,7.043635,3456000,18.019857,4314000,887873000,19.718067,11.632808,940205000,45000,79.49741,26639000,3.029644,48.517504,0.818364,30907000,55.321571,136759000,61.826122,200771,4.290558,53.300751,8833000,15897000,1078005000,12.266228,11.070098,11.870433,27.725868,88238000,38.324864,4.19863,1
1,1792891000,1580291000,212600000,473628000,1501987000,20532000,7411000,100736000,48180000,14.026189,103773000,0.98786,0.573622,174.227941,52.366876,0.09428,-1.899341,154703000,158962000,1,948359000,6.784487,60.577501,226630000,1584763000,5.864854,12.6805,2480000,154703000,18800000,5440000,-5039000,1958000,0.641999,0.551916,13.6654,3.854569,465000,4792000,4.761496,692000,21.268459,1226000,1030578000,21.751452,2.105222,938881000,107000,92.754989,18519000,2.839492,37.565307,0.606636,199877000,54.51564,88187000,66.844876,138558,3.485517,62.509263,7411000,11174000,645882000,13.467979,11.954547,2.080118,22.828452,55545000,34.672719,3.455369,1
2,1459623000,1308735000,150888000,610603000,1146589000,59427000,4288000,214888000,63836000,11.40949,186857000,2.062831,0.748453,221.284479,43.731977,0.25998,-3.904883,130742000,145554000,1,649072000,15.339547,51.367472,251605000,1307319000,5.376196,12.7599,4527000,132875000,47427000,4858000,-19606000,3221000,1.456536,1.271467,15.0098,4.625694,691000,3408000,6.672575,1342000,21.848124,1777000,263258000,16.143611,0.768485,638322000,427000,83.665247,12781000,2.874717,46.341144,0.759309,65803000,64.034396,63876000,63.68702,158402,3.591149,55.671387,4246000,10786000,668997000,11.635993,11.159594,0.771617,25.518155,84144000,28.69601,3.548211,1
3,1699842000,1530764000,169078000,522434000,1392683000,98227000,6160000,64415000,35166000,14.63674,172182000,1.923108,0.712833,144.691965,53.163706,0.07175,-1.720508,146505000,159090000,1,913117000,11.522355,60.695993,267600000,1462356000,6.355058,12.7957,3265000,146505000,86275000,6509000,146000,2290000,0.878817,0.702826,14.555,4.265909,794000,4277000,4.890406,642000,18.453799,284000,1042059000,15.956263,0.380774,903699000,33000,88.24878,18133000,2.905561,39.310771,0.753266,145787000,62.337212,153770000,69.242255,234820,3.557575,64.889067,6155000,11144000,558657000,11.132253,10.649813,0.355651,20.032112,134849000,34.397125,3.541366,1
4,1010644401,947396246.1,63248155.21,457234590.5,704411820,111773819.4,2363108.063,132907693.8,92695372.24,15.234619,337689036.2,2.577077,0.482166,114.623786,50.111309,-0.01507,-0.56774,40429858.6,53356178.9,0.74499,509261707.4,38.099913,54.722813,93204945.35,974753021.4,3.854162,13.5,3278700.689,45450345.75,105092749.7,2455486.814,0,2494971.281,1.424358,1.889696,15.8,3.180271,141548.087,1506369.642,4.57722,0,21.011144,272666.315,411747740.3,18.771655,2.019212,506447135.5,65559.11398,58.84347,6588690.955,1.753429,41.313206,0.482166,83099156.93,33.338567,3731654.567,97.644946,88445,2.1761,71.896456,2316918.687,5769947.02,468305885.9,6.723412,6.919271,2.015288,13.807803,-1658347.588,38.039464,2.145299,1
5,1027248737,966199792,61048944.93,668310352.9,722126935.6,107449152.8,2406317.479,250493924.6,172630556.9,15.89215,344014000.7,0.927312,0.489395,102.531229,44.852837,0.019168,-0.093964,44933322.73,56240034.93,0.74499,463073821.6,40.238273,50.677362,40925276.9,955127006.6,3.73444,12.9,3944721.688,49163375.57,100476047.1,2266259.372,0,2386202.751,1.730467,1.990653,14.8,3.182359,86418.83206,1369291.494,3.978409,1632272.94,19.189392,394844.6637,45024956.5,16.053269,1.961027,460750198,27564.62747,56.794724,7374655.333,1.409648,44.37172,0.489395,35119570.36,37.020225,24615212.33,95.368612,82197,1.842382,63.804599,2354913.174,4561573.351,494376808.6,6.364392,6.62177,1.95551,14.763325,155203007.5,53.152542,1.828148,1
6,788325250.9,735991943.2,52333307.72,326354014.4,530917819.7,112982938.1,1682932.255,124078818.1,96048571.92,12.962923,289437528.3,2.309426,0.891129,98.713647,56.383999,-0.002685,0.098225,34413319.91,45336362.29,0.74499,448434024.5,42.920776,64.099071,45190344.26,746591659.9,3.96178,12.5,2911420.653,38522684.37,107355284.1,3996125.993,-460403.7777,2596289.912,1.685807,2.948536,14.7,3.272478,171347.6843,1312672.259,4.808514,104298.5904,21.67129,351635.2477,120534901,16.918345,2.016955,444489302.8,64069.13412,53.769731,5036131.938,1.603095,35.770373,0.891129,17829099.04,39.238723,7196602.739,123.67258,99678,1.995291,83.720924,1583103.605,5337107.87,302102357.1,7.165371,7.352417,2.03067,13.0399,139906129.2,45.06747,1.978343,1
7,618691788.5,581893010.8,36798777.67,250558738.7,408004910.9,92510614.73,1115249.928,87851447.7,70289800.04,12.379062,226886683.7,2.959718,0.534748,73.233405,52.373234,-0.000933,1.26531,25907769.86,34498993.75,0.74499,325302833.6,43.26824,60.538289,51156968.62,569708700.5,3.973265,12.7,2433882.106,29238619.84,87330699.74,1739551.49,-152722.936,1571928.756,1.831098,2.354415,15,3.409241,136333.1575,1078000.431,4.491641,0,20.414673,151977.946,124569766.5,15.993511,3.772311,324028900.8,31289.57713,52.182166,4040825.389,1.532008,41.541296,0.534748,5871265.651,37.189062,26699694.16,118.884702,45755,2.035138,79.417892,1079490.411,3586381.531,245679799.7,6.380777,6.785074,3.777204,12.955231,63854577.02,44.017857,1.989851,1
8,606459350.3,591160256.4,15299093.91,173278133,286809588,65625909.08,0,83902095.12,90915020.66,0,156540929.7,8.441946,0,0,30.182791,0,0,0,0,1.138,183046355.7,44.416902,53.510819,0,355057172.6,0,0,0,0,55263955.6,0,917050.097,0,0,0,0,0,0,0,0,0,0,0,0,0,17.425858,183046355.7,0,55.583098,0,0,35.252606,0,0,0,89376037.89,93.441262,0,0,63.821561,0,0,172010816.9,2.634149,4.231289,17.425858,14.018879,0,0,0,3
9,472404820.5,444681510.2,27723310.32,124965356.1,338901879.8,64110853.55,1004246.428,43980480.61,39692318.56,14.712945,155510688.3,3.16637,0.517614,85.707293,61.968053,0.061166,0.784672,19596215.16,25401921.7,0.74499,294044546,37.473431,68.254219,31041495.48,444150332.4,3.189782,12.6,1910899.175,22087461.49,61003500.55,1522014.43,-179542.5735,1581613.625,1.795728,2.581897,14.5,3.417362,71519.03343,819488.9247,3.966817,265961.4056,20.659211,242866.7177,119793636,15.847728,2.044553,292740068.7,14154.8087,59.6406,3176637.068,1.575968,29.136946,0.517614,12678983.65,37.030857,3112567.934,118.804896,44797,1.938651,86.379004,978171.7802,2886835.985,151410263.7,6.278291,6.526323,2.044795,10.531754,68112194.47,45.563178,1.926895,2
