index,Total_assets,Total_liabilities,Equity,Liquid_assets,Deposits_and_short-term_funding,Long-term_funding,Net_income,Interbank_assets,Interbank_liabilities,Return_on_average_equity_(ROAE),Wholesale_funding,Growth_in_total_assets,Impaired_loans_/_Gross_customer_loans_&_advances,Loan_loss_reserves_/_Impaired_loans,Customer_loans_&_advances_/_Total_assets,Net_charge_offs_(NCOs)_/_Average_gross_customer_loans_&_advances,Unreserved_impaired_loans_/_Total_equity,Total_Common_Equity_/_Core_Tier_1,Total_Capital,Exchange_rate_from_original_currency,Gross_loans_&_advances_to_customers,Wholesale_funding_/_Total_funding_excluding_derivatives,Loans_&_advances_to_customers_/_Total_deposits_&_other_interest-bearing_liabilities,Financial_assets:_Available_for_sale_(AFS),Total_Earning_Assets,Unadjusted_leverage_ratio_(computed),Tier_1_Ratio,Interest_Expense,Tier_1_Capital,Long-term_borrowings_and_debt_securities_at_historical_cost_>_1_year,Impaired_/_Non-performing_loans_to_customers,Other_reserves,Interest_expense_on_customer_deposits,Interest_expense_/_average_interest_bearing_liabilities,Interest_expense_on_customer_deposits_/_Average_customer_deposits,Total_capital_adequacy_ratio,Interest_income_/_average_interest_earning_assets,Interest_income_on_bank_loans_(including_central_banks),Other_administrative_expenses,Interest_income_on_loans_/_Average_gross_customer_loans_&_advances,Other_interest_income,Effective_tax_rate,Total_net_trading_income_(losses)_and_fair_value_(FV)_gains_(losses),Savings_deposits,Total_equity_/_Risk-weighted_assets_(RWAs),Growth_in_net_customer_loans_&_advances,Net_loans_&_advances_to_customers,Net_gains_(losses)_on_other_securities_(including_FV_through_OCI),Customer_deposits_/_Total_funding_excluding_derivatives,Operating_revenue_after_impairments,Net_interest_income_(expenses)_/_Average_total_assets,Liquid_assets_(including_available_for_sale_&_held_to_maturity)_/_Total_assets,Impaired_loans_+_foreclosed_assets_/_gross_customer_loans_&_advances_+_foreclosed_assets,Financial_assets:_Held_to_maturity_(HTM),Risk_weighted_asset_intensity_(RWA_/_Total_Assets),Minimum_risk_assets,Gross_loans_&_advances_to_customers_/_Customer_deposits,Number_of_employees,Net_interest_margin_(average_interest_earning_assets),Loans_&_advances_to_customers_/_Deposits_&_short-term_funding,Profit_attributable_to_group_equity_holders,Interest_income_on_customer_loans_&_advances,Total_other_earning_assets,Total_equity_/_Total_liabilities_excluding_hybrid_capital_and_subordinated_liabilities,Capital_funds_/_Total_assets,Growth_in_gross_customer_loans_&advances,Capital_funds_/_Net_loans_&_advances_to_customers,Time_deposits,Non-interest_income_/_Operating_revenues,Net_interest_margin_(interest_earning_assets),rank_next_quarter,srisk_ratio,srisk_value
0,2820922000.0,2568039000.0,252883000.0,1510759000.0,2236538000.0,84483000.0,1988000.0,320681000.0,210414000.0,3.203294,346276000.0,4.829617,0.972808,338.052071,33.433998,0.156894,-8.930612,217100000.0,222473000.0,1.0,975218000.0,14.487099,38.601232,492066000.0,2160889000.0,5.343946,14.8853,954000.0,217107000.0,84166000.0,9487000.0,8438000.0,389000.0,0.160852,0.081871,16.0868,2.665398,70000.0,7547000.0,4.272753,1565000.0,23.213596,9136000.0,1151301000.0,19.303206,-4.746866,943147000.0,22000.0,82.617121,18186000.0,1.995979,56.140049,1.001537,72908000.0,46.440738,460788000.0,49.384503,200025,2.952662,42.169952,1986000.0,10621000.0,1217742000.0,9.848535,8.975789,-3.766098,26.846292,85336000.0,51.892535,3.007871,1,8.92,96863.9
1,2161656000.0,1951650000.0,210006000.0,736579000.0,1878116000.0,7182000.0,2330000.0,243497000.0,70494000.0,4.464906,98830000.0,6.38385,0.571978,341.662255,44.938279,0.112997,-6.521242,156513000.0,163028000.0,1.0,990773000.0,5.2179,50.834543,183393000.0,1790389000.0,5.100905,12.6763,528000.0,156513000.0,5208000.0,5667000.0,1225000.0,363000.0,0.114295,0.084757,14.0515,2.606218,59000.0,5330000.0,3.494018,323000.0,17.551309,793000.0,1269958000.0,20.323286,-4.937629,971411000.0,62000.0,94.319654,12365000.0,2.102062,46.50319,0.599066,268660000.0,47.802564,248899000.0,55.459879,139071,2.665576,51.722631,2330000.0,8859000.0,818978000.0,10.771328,9.806371,-4.513747,21.821865,54595000.0,35.932322,2.644093,2,8.79,95490.4
2,1633678000.0,1479751000.0,153927000.0,765032000.0,1301812000.0,63477000.0,338000.0,93920000.0,78660000.0,0.882521,186808000.0,0.077983,1.070319,339.830387,38.33993,0.295007,-10.839554,137476000.0,155799000.0,1.0,649993000.0,13.58743,44.495585,322829000.0,1266395000.0,5.251151,13.9776,1749000.0,139560000.0,51477000.0,6957000.0,-16222000.0,1096000.0,0.492366,0.376225,16.3827,3.582432,134000.0,3368000.0,5.564278,717000.0,-24.175824,2996000.0,413625000.0,15.64579,-6.166331,626351000.0,475000.0,85.716499,7559000.0,2.487628,51.8006,1.075798,81223000.0,60.221401,281005000.0,55.155153,162873,3.451817,48.113783,339000.0,9294000.0,640044000.0,10.487269,10.156653,-5.282661,26.491057,52706000.0,29.628603,3.613197,1,,
3,1799940000.0,1631488000.0,168452000.0,614739000.0,1529385000.0,57306000.0,-2917000.0,84677000.0,39361000.0,-6.889792,108332000.0,2.055003,0.959144,214.953163,49.054191,0.118851,-5.900791,147774000.0,162657000.0,1.0,901533000.0,6.817514,55.667528,252041000.0,1475597000.0,6.195523,13.3506,943000.0,147774000.0,44803000.0,8647000.0,1959000.0,594000.0,0.238761,0.163712,15.542,2.896737,46000.0,5581000.0,3.595273,284000.0,51.464226,753000.0,1252219000.0,16.035467,-7.751635,882946000.0,194000.0,93.035604,6414000.0,2.248266,43.53984,0.980013,168952000.0,58.362855,244093000.0,60.982008,240232,2.81313,57.732095,-2918000.0,8402000.0,592651000.0,10.404791,10.053391,-6.869601,20.494458,81018000.0,34.228673,2.884887,2,8.69,94421.2
4,1203267393.0,1136168905.0,67098488.06,575407601.3,907631170.4,116375265.7,1089144.464,226132990.3,134994963.2,6.654368,341376696.1,14.842301,0.469354,192.041043,45.488709,0.011484,-3.556046,41478790.86,57553556.68,0.718907,552329241.2,32.678216,49.577426,86775698.05,1163363009.0,3.370602,12.3,2130122.143,46238675.67,106293310.6,2592379.497,0.0,1542774.931,0.817737,0.982656,15.3,2.492383,75485.25989,1143781.414,3.958133,0.0,16.469038,270309.1211,506781435.3,17.812546,7.640661,547350808.5,-69015.09476,65.344596,4705247.867,1.650499,44.511858,0.469354,115301937.2,31.305784,3808051.635,80.91198,89483,2.061506,60.305422,1040258.772,5265276.604,616012200.9,5.958553,6.414239,7.905293,14.100727,67670019.32,33.831814,1.904192,2,,
5,1204659917.0,1143524045.0,61135871.44,798245120.8,833431316.6,113638385.9,1064701.618,268822421.0,204592372.8,7.006464,392664257.2,13.505213,0.505427,151.175971,41.349492,0.051106,-2.123706,46871314.04,58568653.7,0.718907,501956130.0,40.228884,46.597519,63952549.99,1063485946.0,3.461661,12.7,2703810.119,50937453.37,106611786.5,2537023.64,0.0,1680086.213,1.067915,1.29315,14.6,2.59339,48166.78488,1242271.706,3.517857,1072609.598,14.787112,186196.9744,51860530.27,15.228899,6.804719,498120759.9,32350.82567,56.799446,5510423.972,1.387062,44.423286,0.505427,32498201.65,33.324461,71011500.15,90.539538,82499,1.876054,59.767464,1020848.277,4268152.266,565365186.1,5.379323,5.658233,7.102416,13.683925,168336443.0,47.927585,1.817541,1,1.86,20244.6
6,896529804.8,845965464.3,50564340.52,395163897.7,616298326.0,113519766.2,951833.1819,160608909.1,121943921.2,7.555137,321895747.7,8.063191,0.783043,117.285156,51.949966,-0.014931,-1.258264,34897914.01,44948237.18,0.718907,470063967.1,42.751747,58.829448,61058948.36,847877038.7,3.572593,11.9,2459381.658,38134434.39,108139464.4,3680805.054,-645578.6989,2100646.947,1.277173,2.146752,14.0,2.766344,90582.31187,1299784.285,4.442199,56793.67173,24.212936,668583.7305,134066853.9,15.764065,5.575066,465746929.2,171818.8297,54.177146,4349388.784,1.471662,38.181967,0.783043,24070452.11,35.777617,8384615.106,115.233689,97369,1.87427,75.571669,893601.6957,5079798.537,382130109.5,6.015374,6.240132,5.688872,12.011811,138923072.3,44.060284,1.785231,3,3.03,32867.2
7,709609609.8,669901487.4,39708122.33,265814513.1,471887115.9,98099205.94,495327.0863,91117897.76,78593814.78,5.131738,236470876.4,12.202405,0.737568,76.159122,49.785476,0.028593,1.573306,27624010.58,36813801.8,0.718907,355278205.3,39.964255,57.389639,53541335.39,627763458.6,3.801797,12.5,1894320.57,31410495.0,92819551.19,2620416.879,-206326.377,1249460.778,1.284651,1.60791,14.7,2.939661,72609.63094,1048166.752,3.943277,0.0,16.68682,-148813.7981,155708118.5,15.864226,7.985717,353282518.8,-7907.979608,56.365066,3097771.284,1.507617,41.764743,0.737568,29900789.8,35.272884,51468725.82,106.525263,29747,2.006096,74.865896,457943.91,3370956.035,274480939.8,5.974544,6.339793,8.115109,12.734221,70825303.18,35.175972,1.914206,2,2.55,27686.9
8,700466222.8,683756435.9,16709786.92,197850754.7,346725760.5,59475188.29,0.0,69929183.98,117354956.8,0.0,176830145.1,2.097776,0.0,0.0,32.247417,0.0,0.0,0.0,0.0,1.119799,225882262.1,43.532677,57.052081,0.0,398719558.3,0.0,0.0,0.0,0.0,49197156.78,0.0,902471.0484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.290145,225882262.1,0.0,56.467323,0.0,0.0,35.223873,0.0,0.0,0.0,127921570.7,98.479082,0,0.0,65.14724,0.0,0.0,172837296.2,2.481117,3.852837,16.290145,11.947737,0.0,0.0,0.0,1,6.64,97257.4
9,545748364.3,516810191.3,28938173.01,164709556.0,389302647.0,68953268.73,281811.6369,60156000.87,59851184.21,3.945498,180899347.0,12.946834,0.526859,137.275986,55.402326,-0.004348,-2.066927,21232925.25,27295469.98,0.718907,304560018.6,38.478924,61.176017,36030911.81,488134419.4,3.053106,12.5,1394680.04,23497483.04,65489573.67,1604600.953,-135873.4678,1156002.837,1.185762,1.747769,14.5,2.87172,48885.69212,787922.3318,3.534112,199856.2119,15.151515,89863.40463,135167500.9,15.377651,4.50388,302357286.9,-11502.51579,58.996246,2258806.539,1.543821,33.623883,0.526859,18792235.18,34.4817,27151688.53,109.808115,44204,1.969053,77.666384,265995.6777,2629762.673,185777132.6,5.637162,5.937144,4.758148,10.716417,68153843.89,39.350022,1.903138,2,1.68,18198.0
