index,Total_assets,Total_liabilities,Equity,Liquid_assets,Deposits_and_short-term_funding,Long-term_funding,Net_income,Interbank_assets,Interbank_liabilities,Return_on_average_equity_(ROAE),Wholesale_funding,Growth_in_total_assets,Impaired_loans_/_Gross_customer_loans_&_advances,Loan_loss_reserves_/_Impaired_loans,Customer_loans_&_advances_/_Total_assets,Net_charge_offs_(NCOs)_/_Average_gross_customer_loans_&_advances,Unreserved_impaired_loans_/_Total_equity,Total_Common_Equity_/_Core_Tier_1,Total_Capital,Exchange_rate_from_original_currency,Gross_loans_&_advances_to_customers,Wholesale_funding_/_Total_funding_excluding_derivatives,Loans_&_advances_to_customers_/_Total_deposits_&_other_interest-bearing_liabilities,Financial_assets:_Available_for_sale_(AFS),Total_Earning_Assets,Unadjusted_leverage_ratio_(computed),Tier_1_Ratio,Interest_Expense,Tier_1_Capital,Long-term_borrowings_and_debt_securities_at_historical_cost_>_1_year,Impaired_/_Non-performing_loans_to_customers,Other_reserves,Interest_expense_on_customer_deposits,Interest_expense_/_average_interest_bearing_liabilities,Interest_expense_on_customer_deposits_/_Average_customer_deposits,Total_capital_adequacy_ratio,Interest_income_/_average_interest_earning_assets,Interest_income_on_bank_loans_(including_central_banks),Other_administrative_expenses,Interest_income_on_loans_/_Average_gross_customer_loans_&_advances,Other_interest_income,Effective_tax_rate,Total_net_trading_income_(losses)_and_fair_value_(FV)_gains_(losses),Savings_deposits,Total_equity_/_Risk-weighted_assets_(RWAs),Growth_in_net_customer_loans_&_advances,Net_loans_&_advances_to_customers,Net_gains_(losses)_on_other_securities_(including_FV_through_OCI),Customer_deposits_/_Total_funding_excluding_derivatives,Operating_revenue_after_impairments,Net_interest_income_(expenses)_/_Average_total_assets,Liquid_assets_(including_available_for_sale_&_held_to_maturity)_/_Total_assets,Impaired_loans_+_foreclosed_assets_/_gross_customer_loans_&_advances_+_foreclosed_assets,Financial_assets:_Held_to_maturity_(HTM),Risk_weighted_asset_intensity_(RWA_/_Total_Assets),Minimum_risk_assets,Gross_loans_&_advances_to_customers_/_Customer_deposits,Number_of_employees,Net_interest_margin_(average_interest_earning_assets),Loans_&_advances_to_customers_/_Deposits_&_short-term_funding,Profit_attributable_to_group_equity_holders,Interest_income_on_customer_loans_&_advances,Total_other_earning_assets,Total_equity_/_Total_liabilities_excluding_hybrid_capital_and_subordinated_liabilities,Capital_funds_/_Total_assets,Growth_in_gross_customer_loans_&advances,Capital_funds_/_Net_loans_&_advances_to_customers,Time_deposits,Non-interest_income_/_Operating_revenues,Net_interest_margin_(interest_earning_assets),rank_next_quarter,srisk_ratio,srisk_value
0,2153028000.0,1940588000.0,212440000.0,1090196000.0,1671375000.0,83260000.0,5499000.0,308776000.0,163989000.0,10.406175,280121000.0,0.047491,0.981391,126.706827,37.241178,0.065639,-1.001695,186440000.0,198246000.0,1.0,811909000.0,15.456265,43.428335,215835000.0,1664690000.0,7.03218,14.2072,1999000.0,186724000.0,79945000.0,7968000.0,1788000.0,1106000.0,0.431204,0.301012,15.0852,3.014644,1217000.0,6740000.0,3.885323,1680000.0,28.361126,2676000.0,859758000.0,17.124179,1.128438,801813000.0,-1000.0,81.359409,20475000.0,1.956036,52.822118,1.032343,47079000.0,57.620477,350455000.0,55.062821,190199.0,3.067614,47.973256,5496000.0,7843000.0,862877000.0,10.96593,10.021003,1.11085,26.908394,62164000.0,49.866641,3.065447,1,3.27,9929.7
1,1725215000.0,1516175000.0,209040000.0,545288000.0,1441037000.0,14495000.0,5504000.0,59838000.0,46594000.0,10.583979,103151000.0,1.130587,0.859337,135.391741,51.820266,0.100385,-1.316016,151761000.0,164735000.0,1.0,904535000.0,6.993407,60.008874,307950000.0,1493728000.0,6.036692,12.848,908000.0,151761000.0,12803000.0,7773000.0,-3781000.0,555000.0,0.245185,0.165713,13.9464,3.410484,330000.0,4529000.0,4.197453,454000.0,33.187667,888000.0,1020438000.0,20.371946,1.376848,894011000.0,126000.0,91.688401,16995000.0,2.741011,38.698539,0.890126,122345000.0,59.47763,121491000.0,66.884628,142680.0,3.432235,62.03942,5504000.0,9429000.0,599717000.0,13.80273,12.214825,1.342214,23.571522,54326000.0,34.080969,3.397334,1,8.39,25469.8
2,1407297000.0,1257903000.0,149394000.0,592228000.0,1050370000.0,94157000.0,3627000.0,172864000.0,63145000.0,9.735671,220034000.0,0.427745,0.942309,184.143178,42.852077,0.247406,-3.257159,129170000.0,154424000.0,1.0,613705000.0,18.953286,50.986881,285697000.0,1237766000.0,5.527394,12.4965,2572000.0,130564000.0,82157000.0,5783000.0,-15324000.0,1463000.0,0.862892,0.632546,14.7801,4.175841,444000.0,3177000.0,6.284005,1001000.0,32.213513,1710000.0,279324000.0,15.51391,1.212252,603056000.0,200000.0,79.633965,12376000.0,2.918465,45.616171,0.959093,49727000.0,68.426784,64272000.0,66.382871,173812.0,3.724614,57.413673,3579000.0,9582000.0,634710000.0,11.990821,11.468368,1.245723,26.762689,46960000.0,27.809484,3.687787,1,,
3,1737980000.0,1574418000.0,163562000.0,551206000.0,1412586000.0,110939000.0,4316000.0,41853000.0,49223000.0,10.55957,193456000.0,0.348916,1.032879,107.724513,52.629777,0.069373,-0.451205,140021000.0,162723000.0,1.0,924987000.0,12.677069,60.131413,262723000.0,1437348000.0,6.105661,11.934,1624000.0,140021000.0,97968000.0,9554000.0,20000.0,911000.0,0.423672,0.274324,13.8689,3.900569,619000.0,5444000.0,4.533962,374000.0,33.996024,525000.0,1024737000.0,14.818044,-0.411552,914695000.0,158000.0,87.158714,17924000.0,2.855169,39.903911,1.106756,142316000.0,63.510681,212933000.0,69.544287,234668.0,3.638748,64.753226,4314000.0,10506000.0,522653000.0,10.475027,10.157367,-0.405812,19.299657,96964000.0,33.440826,3.638108,1,0.0,-27023.4
4,963060452.6,904218643.7,58841808.96,396225061.9,695332785.0,101103722.4,2217861.388,132960349.7,75740487.02,14.797299,260351616.6,-3.957042,0.487028,123.18258,50.668133,0.078555,-0.941958,36023227.13,50965157.14,0.800961,490909881.7,31.582808,55.460838,98736882.22,930386845.0,3.779479,12.8,1887865.399,41847015.55,93323185.9,2390868.993,0.0,1384861.806,0.833241,1.010388,15.6,2.575705,92110.53073,1533840.577,3.924509,0.0,22.307015,127352.8208,389357621.1,17.970514,-1.013708,487964747.6,29635.56206,65.035329,6556667.866,1.716823,38.945393,0.487028,57054864.66,33.999456,3294353.156,91.567826,83358.0,2.152457,70.177152,2156988.341,4841810.072,442422097.4,6.563957,6.917774,-1.042052,13.653106,6690428.376,39.397077,2.172561,3,,
5,961991970.5,903633141.1,58358829.39,556700829.5,615691617.2,125232676.6,2239487.339,196048854.6,100193029.6,15.317505,275128548.6,-0.155621,0.525098,77.209945,45.733431,0.04725,0.905834,39734080.08,52719262.03,0.800961,441742882.3,35.57515,51.791555,56565477.4,893173389.6,3.674436,12.4,2043251.86,45404083.96,117863834.2,2319583.452,0.0,1339207.021,0.951953,1.149529,14.4,2.446767,64877.85208,1437725.241,3.409978,663996.7824,22.073579,433319.975,43692430.01,15.903793,0.460713,439951933.2,35242.29002,60.229132,7200640.62,1.416659,40.324484,0.525098,11860632.51,38.144719,19464957.55,94.836178,76720.0,1.936924,71.456541,2168201.797,3757308.693,453221456.4,6.511342,6.832455,0.454811,14.939739,126353221.3,54.274973,1.933783,1,1.83,5567.7
6,725936709.1,679546641.9,46390067.12,289734074.9,480225861.1,106875448.3,1684421.271,109565876.8,76905885.47,14.291903,257046049.9,-1.661592,0.954613,87.319357,56.311484,0.134908,1.075659,33134961.27,43195033.15,0.800961,412221857.7,41.726465,63.664657,39786142.55,690972352.5,4.106745,12.6,1830196.198,36774528.67,100967559.0,3935122.065,-414096.9077,1605927.079,1.122874,1.915665,14.8,2.817626,122547.0539,1307168.575,4.32408,56067.27958,20.611552,352422.9002,120180213.8,15.850098,0.737417,408785734.4,67280.73549,54.016661,4972366.737,1.677482,35.034733,0.954613,15080496.28,40.317566,5492991.476,123.880784,89191.0,2.135669,85.12364,1614737.652,4441329.504,282186618.1,6.88649,7.204203,0.671917,12.793489,89098115.9,43.474414,2.142349,1,2.76,8396.5
7,567574677.9,533186212.4,34388465.45,209342406.6,370548650.7,73416097.8,1110933.097,63944732.36,51990387.39,12.631052,193470560.7,-1.436275,0.558242,86.391655,53.057011,0.090398,0.668468,23711653.49,32329995.33,0.800961,302597510.8,41.603097,61.356374,43092510.12,520188215.1,4.058881,12.9,1205446.511,27297556.5,69360831.57,1689227.038,-275530.6311,787344.7975,0.96924,1.238474,15.2,2.471422,73688.42459,1038846.594,3.614873,0.0,22.686734,358830.5893,117999196.6,16.212583,-1.409998,301138159.6,34441.32888,53.865219,4016019.14,1.419485,38.25127,0.558242,7055666.654,37.371246,26090508.07,120.800212,46173.0,1.923409,81.268184,1071686.001,2754505.35,219050055.5,6.499046,6.773335,-1.432876,12.766144,48317179.62,50.796426,1.951096,3,3.91,11878.4
8,573469513.2,560063200.1,13406313.11,158641266.5,269997004.2,55070802.59,0.0,89254790.16,97924025.16,0.0,152994827.7,-5.378143,0.0,0.0,31.197432,0.0,0.0,0.0,0.0,1.1806,178907763.6,47.065512,56.59676,0.0,346876515.7,0.0,0.0,0.0,0.0,46112544.93,0.0,901279.4298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.32552,178907763.6,0.0,52.934488,0.0,0.0,34.067802,0.0,0.0,0.0,69386476.33,103.972027,0.0,0.0,66.26287,0.0,0.0,167968752.1,2.432624,3.899871,10.32552,12.500615,0.0,0.0,0.0,1,7.57,70431.7
9,449268713.2,425222257.9,24046455.25,116228271.5,316929108.4,63118140.46,878654.3671,43985581.79,22127352.37,15.700025,138942728.4,6.114557,0.372721,118.89881,64.001662,0.086582,-0.846046,16551060.93,21748497.75,0.800961,288819377.3,35.464864,69.831041,30253904.06,424028024.9,2.879044,11.9,914697.6182,19003603.93,60559069.63,1076491.768,-201041.2453,780136.1473,0.908295,1.350143,13.7,2.653461,36844.21229,852222.6496,3.234716,103323.9867,23.977824,163396.0719,114020021.7,15.096522,8.538422,287539441.4,24028.83411,61.541465,3096515.755,1.671221,26.296995,0.372721,1915899.039,35.454225,3369643.503,119.790113,45685.0,2.096732,90.726738,868241.8723,2244293.105,136488583.5,5.689271,5.921963,8.483984,9.252827,64748897.34,44.147239,2.004964,4,3.34,10144.8
10,452251826.0,405601927.0,46649899.0,91361106.0,373003072.0,17169993.0,1445165.0,9628241.0,1484936.0,12.380427,36750883.0,-1.019539,0.59639,235.602637,60.629122,0.11882,-4.8212,37138034.0,45013438.0,1.0,278103983.0,9.418087,70.694124,70536087.0,406146694.0,4.923453,10.4058,449293.0,37256511.0,13869993.0,1658585.0,-888176.0,299788.0,0.455862,0.337475,12.5724,3.600571,11975.0,1178551.0,4.477048,-35195.0,35.988057,46645.0,266740705.0,16.519367,0.529313,274196313.0,7544.0,90.57091,5165338.0,2.812097,29.934544,0.664385,44018417.0,62.442025,10899059.0,78.688887,70451.0,3.218138,73.51047,1437504.0,3104342.0,131950381.0,11.595743,11.044709,0.540732,18.216838,18980878.0,42.380466,3.208818,1,,
