index,Total_assets,Total_liabilities,Equity,Liquid_assets,Deposits_and_short-term_funding,Long-term_funding,Net_income,Interbank_assets,Interbank_liabilities,Return_on_average_equity_(ROAE),Wholesale_funding,Growth_in_total_assets,Impaired_loans_/_Gross_customer_loans_&_advances,Loan_loss_reserves_/_Impaired_loans,Customer_loans_&_advances_/_Total_assets,Net_charge_offs_(NCOs)_/_Average_gross_customer_loans_&_advances,Unreserved_impaired_loans_/_Total_equity,Total_Common_Equity_/_Core_Tier_1,Total_Capital,Exchange_rate_from_original_currency,Gross_loans_&_advances_to_customers,Wholesale_funding_/_Total_funding_excluding_derivatives,Loans_&_advances_to_customers_/_Total_deposits_&_other_interest-bearing_liabilities,Financial_assets:_Available_for_sale_(AFS),Total_Earning_Assets,Unadjusted_leverage_ratio_(computed),Tier_1_Ratio,Interest_Expense,Tier_1_Capital,Long-term_borrowings_and_debt_securities_at_historical_cost_>_1_year,Impaired_/_Non-performing_loans_to_customers,Other_reserves,Interest_expense_on_customer_deposits,Interest_expense_/_average_interest_bearing_liabilities,Interest_expense_on_customer_deposits_/_Average_customer_deposits,Total_capital_adequacy_ratio,Interest_income_/_average_interest_earning_assets,Interest_income_on_bank_loans_(including_central_banks),Other_administrative_expenses,Interest_income_on_loans_/_Average_gross_customer_loans_&_advances,Other_interest_income,Effective_tax_rate,Total_net_trading_income_(losses)_and_fair_value_(FV)_gains_(losses),Savings_deposits,Total_equity_/_Risk-weighted_assets_(RWAs),Growth_in_net_customer_loans_&_advances,Net_loans_&_advances_to_customers,Net_gains_(losses)_on_other_securities_(including_FV_through_OCI),Customer_deposits_/_Total_funding_excluding_derivatives,Operating_revenue_after_impairments,Net_interest_income_(expenses)_/_Average_total_assets,Liquid_assets_(including_available_for_sale_&_held_to_maturity)_/_Total_assets,Impaired_loans_+_foreclosed_assets_/_gross_customer_loans_&_advances_+_foreclosed_assets,Financial_assets:_Held_to_maturity_(HTM),Risk_weighted_asset_intensity_(RWA_/_Total_Assets),Minimum_risk_assets,Gross_loans_&_advances_to_customers_/_Customer_deposits,Number_of_employees,Net_interest_margin_(average_interest_earning_assets),Loans_&_advances_to_customers_/_Deposits_&_short-term_funding,Profit_attributable_to_group_equity_holders,Interest_income_on_customer_loans_&_advances,Total_other_earning_assets,Total_equity_/_Total_liabilities_excluding_hybrid_capital_and_subordinated_liabilities,Capital_funds_/_Total_assets,Growth_in_gross_customer_loans_&advances,Capital_funds_/_Net_loans_&_advances_to_customers,Time_deposits,Non-interest_income_/_Operating_revenues,Net_interest_margin_(interest_earning_assets),rank_next_quarter,srisk_ratio,srisk_value
0,2140778000.0,1928932000.0,211846000.0,1056461000.0,1660658000.0,80498000.0,3162000.0,347021000.0,154189000.0,5.962016,265746000.0,-0.568966,1.00971,121.093093,38.042852,0.060987,-0.828904,184375000.0,196250000.0,1.0,824494000.0,14.750064,44.323147,202656000.0,1680154000.0,7.048161,13.8025,2064000.0,184786000.0,80185000.0,8325000.0,1375000.0,1175000.0,0.4478,0.318652,14.6607,3.048991,1189000.0,7060000.0,3.924217,1774000.0,55.30742,1756000.0,864239000.0,17.271922,1.571439,814413000.0,-35000.0,81.8917,19953000.0,1.990588,51.579099,1.057952,47733000.0,57.293844,312125000.0,55.882365,191929,3.068653,49.041585,3161000.0,8027000.0,865741000.0,10.984336,9.910369,1.550051,26.050542,63191000.0,47.773378,3.027008,1,0.0,-32329.7
1,1751524000.0,1543740000.0,207784000.0,557033000.0,1469473000.0,10667000.0,10463000.0,60305000.0,56096000.0,10.040689,113856000.0,1.524969,0.862303,129.828789,51.622187,0.235191,-1.131945,150552000.0,163243000.0,1.0,914412000.0,7.585747,59.569339,309421000.0,1519540000.0,5.897028,12.5356,1927000.0,150552000.0,8987000.0,7885000.0,-4338000.0,1177000.0,0.255993,0.173173,13.5924,3.398038,675000.0,9289000.0,4.178242,926000.0,35.225655,1555000.0,1029119000.0,20.630602,1.136899,904175000.0,53000.0,91.029768,34007000.0,2.723357,38.940146,0.893192,125013000.0,57.502152,120351000.0,66.926935,142412,3.402157,61.530562,10463000.0,19000000.0,615365000.0,13.474443,11.958957,1.091942,23.166312,52288000.0,33.957368,3.384197,1,0.0,-24544.6
2,1384707000.0,1242187000.0,142520000.0,579718000.0,1061281000.0,84473000.0,-8955000.0,164983000.0,63969000.0,-24.541475,215100000.0,-1.605205,0.912971,187.119234,44.6675,0.265172,-3.511788,124906000.0,150535000.0,1.0,629264000.0,18.562562,52.344445,282572000.0,1239308000.0,5.391387,12.4849,2616000.0,126549000.0,72473000.0,5745000.0,-18809000.0,1484000.0,0.876239,0.639949,14.8513,4.157809,444000.0,3685000.0,6.15494,1013000.0,302.936453,1233000.0,284772000.0,14.940809,2.563278,618514000.0,115000.0,80.312983,11884000.0,2.939251,45.580906,0.930762,51444000.0,68.888039,64665000.0,67.615247,169092,3.681887,58.279947,-8967000.0,9563000.0,620794000.0,11.585231,11.159039,2.535257,24.982458,56201000.0,24.612332,3.671725,1,,
3,1747354000.0,1580796000.0,166558000.0,558192000.0,1441476000.0,95885000.0,6618000.0,44026000.0,54150000.0,16.037804,184426000.0,0.539362,0.976409,111.38794,52.588771,0.082093,-0.620204,143293000.0,165735000.0,1.0,929016000.0,11.974439,59.827025,272103000.0,1456518000.0,6.188923,12.2487,1679000.0,143293000.0,83935000.0,9071000.0,-468000.0,976000.0,0.435817,0.291017,14.167,3.853945,597000.0,7255000.0,4.495786,424000.0,-49.86413,402000.0,1027266000.0,15.275576,0.461028,918912000.0,131000.0,87.843567,18157000.0,2.814537,39.91292,1.044686,139228000.0,62.400348,201735000.0,68.666713,232321,3.585569,63.747992,6603000.0,10419000.0,537606000.0,10.616593,10.215904,0.435574,19.426017,100819000.0,34.647977,3.569025,1,0.0,-60037.5
4,996334797.9,937761923.5,58572874.37,390804699.0,725841696.2,102114978.5,2112643.108,144592971.2,83026406.74,14.594965,272195212.7,6.371857,0.486846,122.625608,49.248668,0.086638,-0.928315,36323127.89,50664484.68,0.778998,493628565.9,31.813249,53.704615,114053904.9,963396417.1,3.681084,12.3,1991119.389,41871932.04,94692683.73,2403209.435,0.0,1447378.648,0.892695,1.074936,14.9,2.63053,109838.7457,1554101.401,4.016134,0.0,19.698369,-40507.9062,408006537.2,17.255307,3.391856,490681615.8,-170600.605,64.956234,6234322.564,1.718401,40.29015,0.486846,55591648.27,34.069719,3093401.837,88.819226,82571,2.128799,67.60174,2046428.261,4874970.711,472714801.4,6.295859,6.623794,3.388802,13.449693,9436784.148,37.886027,2.06334,1,,
5,944810299.2,886831021.4,57979277.74,540664477.0,625146052.4,121479315.7,2210017.882,197584323.5,115476355.6,15.409162,289827836.9,0.982976,0.458988,83.812112,46.095941,0.055718,0.560273,40174494.97,52626002.14,0.778998,437201052.6,37.639903,52.186056,59108046.13,880297563.6,3.720501,12.3,2169509.976,45463113.72,114261897.4,2006699.353,0.0,1460621.618,1.036117,1.284316,14.2,2.546272,82573.80879,1727039.001,3.528552,694087.3927,19.881389,329516.237,44314091.38,15.686291,1.783426,435519195.5,36612.91522,59.324236,7358416.961,1.445296,41.360412,0.458988,11564228.22,39.120817,22129001.76,95.71003,78210,1.954283,69.666791,2147698.027,3823323.147,444778368.1,6.591449,6.900506,1.762234,14.969879,126503075.1,54.948347,1.928253,1,0.0,-6621.6
6,712996016.0,664990252.1,48005763.84,287798546.6,474131799.1,106401805.6,1612526.266,114635037.5,78048608.27,13.852756,257744796.2,0.986504,0.931535,88.941418,56.587379,-0.264824,0.873022,33771129.8,43711925.78,0.778998,406836481.9,42.382984,63.963884,39342524.9,680606829.0,4.159447,13.1,1882059.642,38539377.76,101778451.3,3789826.224,-368466.1468,1692763.08,1.189647,2.083228,14.9,2.878182,132429.6933,1296252.998,4.342111,66993.84487,20.628834,58424.86471,118377344.9,16.373124,1.481281,403465756.7,100490.7673,53.675992,4813429.854,1.682472,35.260299,0.931535,14617901.15,41.122048,6095660.885,124.635405,88645,2.113629,85.095696,1547090.418,4384201.848,277141072.2,7.269559,7.381404,1.476123,13.044259,110997895.0,42.948622,2.086729,1,1.76,3197.6
7,552761540.0,518209854.0,34551685.99,208210637.9,353701015.0,79800575.21,955830.7866,63517175.92,46023992.43,11.245532,191044633.6,0.135899,0.589038,82.567568,52.855633,0.036307,0.872526,23863051.74,31624210.77,0.778998,293593514.1,42.163573,61.828616,42124327.46,505989709.3,4.006381,13.0,1181740.264,27349068.67,75882993.28,1729375.995,-212666.5075,862351.0031,0.987101,1.419267,15.1,2.49547,82573.80879,1112409.424,3.798171,0.0,18.471761,313936.273,118134297.4,16.459962,-0.244168,292165610.5,31938.92604,53.510279,3782036.242,1.429985,39.084247,0.589038,7084209.596,37.975422,25394562.2,121.090984,45200,1.949968,82.602424,918438.8732,2791150.537,213824098.9,6.718298,6.959469,-0.240079,13.166939,44744877.39,49.652433,1.947307,1,4.39,7980.2
8,553850769.3,540232112.2,13618657.11,146948172.8,256122509.3,57587357.7,0.0,84174181.41,89695762.65,0.0,147283120.3,-4.926934,0.0,0.0,31.46113,0.0,0.0,0.0,0.0,1.1993,174247709.0,46.948833,57.195862,0.0,330838029.7,0.0,0.0,0.0,0.0,48528389.6,0.0,915554.8891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.123325,174247709.0,0.0,53.051167,0.0,0.0,33.226632,0.0,0.0,0.0,62773991.35,104.699342,0,0.0,68.032954,0.0,0.0,156590320.7,2.563883,4.094537,-4.123325,13.01459,0.0,0.0,0.0,1,8.52,75047.1
9,440339636.3,416006069.7,24333566.65,113359038.5,312278564.9,61417775.78,906753.9003,39802912.83,24181662.0,15.201032,139605045.7,0.775879,0.356777,123.51145,64.670313,0.033802,-0.98601,16840383.0,21912440.26,0.778998,286029441.7,36.171286,70.9115,31282230.56,416864525.7,2.957954,12.1,1060216.545,19227233.48,58917970.57,1020487.637,-295240.3163,914543.8823,1.05096,1.561373,13.8,2.874513,42844.90079,923891.8606,3.454952,115291.733,20.816327,105943.7547,113112096.1,15.363391,1.828726,284769022.6,28822.93326,60.652416,3126898.759,1.750348,26.174319,0.356777,1896860.608,35.969211,2679753.795,122.187133,44928,2.158284,91.190704,884162.9526,2448391.33,132095503.1,5.884691,6.09379,1.826169,9.422855,58089895.49,41.927881,2.146131,1,3.36,6098.5
