index,Total_assets,Total_liabilities,Equity,Liquid_assets,Deposits_and_short-term_funding,Long-term_funding,Net_income,Interbank_assets,Interbank_liabilities,Return_on_average_equity_(ROAE),Wholesale_funding,Growth_in_total_assets,Impaired_loans_/_Gross_customer_loans_&_advances,Loan_loss_reserves_/_Impaired_loans,Customer_loans_&_advances_/_Total_assets,Net_charge_offs_(NCOs)_/_Average_gross_customer_loans_&_advances,Unreserved_impaired_loans_/_Total_equity,Total_Common_Equity_/_Core_Tier_1,Total_Capital,Exchange_rate_from_original_currency,Gross_loans_&_advances_to_customers,Wholesale_funding_/_Total_funding_excluding_derivatives,Loans_&_advances_to_customers_/_Total_deposits_&_other_interest-bearing_liabilities,Financial_assets:_Available_for_sale_(AFS),Total_Earning_Assets,Unadjusted_leverage_ratio_(computed),Tier_1_Ratio,Interest_Expense,Tier_1_Capital,Long-term_borrowings_and_debt_securities_at_historical_cost_>_1_year,Impaired_/_Non-performing_loans_to_customers,Other_reserves,Interest_expense_on_customer_deposits,Interest_expense_/_average_interest_bearing_liabilities,Interest_expense_on_customer_deposits_/_Average_customer_deposits,Total_capital_adequacy_ratio,Interest_income_/_average_interest_earning_assets,Interest_income_on_bank_loans_(including_central_banks),Other_administrative_expenses,Interest_income_on_loans_/_Average_gross_customer_loans_&_advances,Other_interest_income,Effective_tax_rate,Total_net_trading_income_(losses)_and_fair_value_(FV)_gains_(losses),Savings_deposits,Total_equity_/_Risk-weighted_assets_(RWAs),Growth_in_net_customer_loans_&_advances,Net_loans_&_advances_to_customers,Net_gains_(losses)_on_other_securities_(including_FV_through_OCI),Customer_deposits_/_Total_funding_excluding_derivatives,Operating_revenue_after_impairments,Net_interest_income_(expenses)_/_Average_total_assets,Liquid_assets_(including_available_for_sale_&_held_to_maturity)_/_Total_assets,Impaired_loans_+_foreclosed_assets_/_gross_customer_loans_&_advances_+_foreclosed_assets,Financial_assets:_Held_to_maturity_(HTM),Risk_weighted_asset_intensity_(RWA_/_Total_Assets),Minimum_risk_assets,Gross_loans_&_advances_to_customers_/_Customer_deposits,Number_of_employees,Net_interest_margin_(average_interest_earning_assets),Loans_&_advances_to_customers_/_Deposits_&_short-term_funding,Profit_attributable_to_group_equity_holders,Interest_income_on_customer_loans_&_advances,Total_other_earning_assets,Total_equity_/_Total_liabilities_excluding_hybrid_capital_and_subordinated_liabilities,Capital_funds_/_Total_assets,Growth_in_gross_customer_loans_&advances,Capital_funds_/_Net_loans_&_advances_to_customers,Time_deposits,Non-interest_income_/_Operating_revenues,Net_interest_margin_(interest_earning_assets),rank_next_quarter
0,3380824000,3083483000,297341000,1514544000,2705367000,70875000,7910000,404830000,220450000,10.608283,321459000,-2.75798,0.777117,210.197797,31.610755,0.061632,-3.129067,263041000,268368000,1,1086451000,11.18398,36.563127,246130000,2506693000,5.435115,16.1223,1726000,263044000,70607000,8443000,-15721000,1023000,0.232418,0.164162,17.1528,2.714884,1096000,8399000,4.363449,1771000,24.788438,2548000,1513017000,20.342359,3.271093,1068704000,-96000,85.405115,27198000,1.789214,57.861427,0.79684,441649000,43.234549,623388000,44.258535,210348,2.849961,39.503106,7912000,11664000,1437989000,9.643862,8.802854,3.270785,27.847655,85658000,45.803739,2.83846,1
1,2440022000,2209100000,230922000,558667000,2132103000,7294000,5812000,43834000,72011000,10.100931,92270000,-2.92793,0.519588,225.405814,41.2993,0.055527,-2.877162,182767000,188734000,1,1019654000,4.297691,46.533746,242552000,2149029000,5.337499,13.1168,493000,182767000,5727000,5298000,-13173000,283000,0.089453,0.054382,14.011,2.443095,258000,6157000,3.4091,467000,10.763089,1731000,1571659000,21.789555,3.790144,1007712000,16000,95.349719,17606000,2.042296,49.869714,0.550116,658165000,43.433338,158868000,49.809025,133221,2.586089,47.263758,5812000,8534000,1141317000,10.460636,9.528152,3.730267,23.070977,38205000,30.178887,2.591044,1
2,1720308000,1555402000,164906000,675836000,1398806000,29809000,4724000,106035000,111497000,11.463168,170525000,0.133876,0.698347,332.197576,35.55561,0.118235,-6.157447,148742000,166094000,1,626193000,11.716654,41.220191,237649000,1359684000,5.482304,14.1195,1769000,150870000,19309000,4373000,-29027000,1274000,0.47328,0.398979,16.3041,3.716917,616000,3677000,5.808053,981000,23.123262,3865000,205456000,15.596369,-0.266102,611666000,-113000,86.442487,14908000,2.525888,54.479256,0.699933,261375000,61.462009,250642000,49.773307,186465,3.575248,43.727722,4668000,9100000,748018000,10.674205,10.196197,-0.166763,28.676762,42555000,31.954369,3.568925,1
3,1712535000,1550153000,162382000,379305000,1474740000,29922000,4040000,82958000,25946000,9.857145,59306000,-2.932484,0.734572,175.373247,52.032396,0.038848,-3.077927,140383000,154279000,1,902702000,3.927375,58.85687,124231000,1502714000,5.962616,11.8689,404000,140383000,18750000,6631000,-8131000,191000,0.104309,0.05187,13.7887,2.868971,313000,4080000,3.591206,439000,17.986196,537000,452666000,16.212931,3.983611,891073000,152000,95.714693,15411000,2.395531,39.770749,0.749745,301783000,58.483977,126820000,62.45534,214924,2.972754,60.42238,4037000,7950000,611641000,10.551267,10.134333,3.963072,19.476968,36858000,34.8335,2.974476,2
4,1426888667,1349174471,77714195.64,672258436.5,1079159621,113320824.5,2979205.726,234283143.5,122208410.4,15.138861,351382892.3,2.625004,0.319519,240.538401,42.979089,0.037361,-3.570997,56180424.74,70568323.29,0.781739,618013596.4,28.501507,46.667488,54065821.88,1379759212,3.708321,15.9,1291432.133,60834114.5,104525483.7,1974671.651,-2223264.519,818480.2925,0.395892,0.387945,18.5,1.841288,102407.7539,1731550.953,3.17789,0,21.730644,81300.81224,617086454.5,20.330027,3.091617,613263752.8,0,68.223434,8244215.057,1.415592,46.69628,0.319519,248080047.7,26.789976,4403533.417,73.477041,91993,1.738704,56.8279,2927610.979,4837398.329,766495458.7,5.797926,6.062809,3.045229,14.106416,78718729.72,39.685993,1.734428,2
5,1445100049,1363482633,81617416.37,795816909.3,1025334574,114269073.3,3324734.178,301381329.3,223345057.3,16.483458,433848495,5.483863,0.26894,168.788021,42.789407,0.021443,-1.407979,60247810.57,73382582.17,0.781739,621169475.1,37.066679,48.27514,63149624.17,1277124753,3.69378,14.4,1941838.631,65935740.47,106235927.7,1670575.344,0,1151500.927,0.617948,0.653197,16,1.960146,77392.11935,1393058.148,2.931107,434646.6501,19.875659,440118.8201,67445277.67,17.821449,4.227923,618349744,17979.98732,60.297546,9160412.672,1.171661,43.408101,0.26894,57667291.52,31.691435,90626171.76,88.014869,86007,1.607632,60.307119,3269230.739,4461382.072,658775009.4,6.021428,6.203762,4.136497,14.498358,186594745,53.639241,1.581732,2
6,1007274850,951015469.5,56259380.33,417204498.9,683226228.7,144901499.6,2147435.877,175088334.8,106290649.4,15.06103,337374136.9,3.45507,0.597166,124.155722,55.005177,0.059953,-1.431212,40296278.55,52085678.06,0.781739,558191833.4,39.092776,61.489003,64212006.9,957017658.3,3.642418,12.8,2047373.339,44716228.47,138298153.8,3333333.302,934177.6022,1582238.884,0.921558,1.298245,15,2.35253,80519.07367,1253126.943,3.647187,55503.43913,22.923681,523764.8481,162211536.9,16.162444,2.979488,554053309.4,781.738579,56.865415,5971701.007,1.412166,36.379109,0.597166,13054252.54,34.557309,8320043.699,113.741772,90619,1.770287,81.093683,2028611.613,5017198.202,402964348.9,5.957079,6.240871,2.927359,11.345971,127770480.4,43.077119,1.734465,2
7,814231543.3,762955746.4,51275796.89,262583643.6,555551902.2,99143995.32,3717948.683,89512194.28,79978892.31,30.342276,254571604.9,1.797645,0.409882,113.188884,49.497727,0.015135,-0.426881,42819730.68,52640712.45,0.781739,404904624.1,37.140384,56.633419,29611475.64,726972319.6,4.729173,17.5,1267198.237,46825359.16,92705596.38,1659631.004,891963.719,667604.7467,0.71157,0.672243,19.7,2.370367,57848.65487,1156191.359,3.299781,0,25.255383,2950281.398,210997496.5,19.162866,3.698586,403026106.3,67229.51782,58.375599,7837710.996,1.511863,42.00938,0.409882,79469980.49,32.862759,54945277.78,101.194712,44892,2.034545,72.545176,3677298.277,3280956.817,323946213.3,6.777875,7.08818,3.68038,14.320213,49781112.73,61.274315,2.028088,2
8,677866390.7,660924706.7,16941684.03,194021749.7,347790679.4,66654948.14,0,96726918.19,118478039.2,0,185132987.3,8.099368,0,0,33.840698,0,0,0,0,1.0387,229394721.4,44.67003,57.266849,0,405385792.3,0,0,0,0,52780899.01,0,837273.1101,0,0,0,0,0,0,0,0,0,0,0,0,0,7.448658,229394721.4,0,55.32997,0,0,35.058241,0,0,0,97294831.5,100.035794,0,0,65.957697,0,0,175991070.9,2.618293,4.545989,7.448658,13.433497,0,0,0,1
9,698989987.2,661507967.5,37482019.66,311821448,493470914.7,93131643.9,1190587.856,71666665.99,56414946.31,12.793078,213732018,3.769915,0.351111,159.131905,56.190921,0.061726,-2.187832,27452313.69,35744996.54,0.781739,394975762.4,35.394837,61.93595,44759224.09,636070194.2,3.050105,13.2,905253.2748,30847404.34,88213726.5,1386804.24,923233.2621,741869.9117,0.576617,0.802809,15.3,2.127168,36741.71323,868511.5616,2.753868,93808.62951,22.256253,289243.2743,183029235.3,16.007144,3.939494,392768914.4,12507.81727,61.748782,3954815.473,1.406984,31.788473,0.353872,36791744.49,33.499488,15859130.56,105.928391,47814,1.80684,79.593123,1149937.45,2668073.771,243301279.8,5.708588,6.065886,3.913415,10.795136,78595215.02,42.409549,1.768548,2
10,582252757,538572513,43680244,141066840,502300574,17601077,1603502,3338171,2244600,14.266946,43329060,0.815318,0.33232,528.020269,56.081667,0.04954,-10.823218,44605288,53351172,1,332369191,8.334088,62.736451,102037102,501552255,4.710078,10.3419,309738,45048232,14001077,1104529,-10228438,181306,0.238021,0.152799,12.248,3.054164,56682,1407635,3.591235,19558,21.26624,98375,366082930,10.027813,4.234917,326537054,18900,91.665912,5656658,2.408936,34.790748,0.339113,61503251,74.811316,35605003,69.741567,69267,2.852276,65.008298,1600291,2923730,175015201,8.164951,8.120227,4.212451,14.479289,14918661,41.515973,2.831159,2
11,534346587,489980569,44366018,95034774,449323898,24942110,1400865,4869792,1048342,12.30541,27367854,-0.102003,0.926983,154.873717,57.335054,0.02749,-3.563764,42296373,49161850,1,310830348,5.757739,64.644126,54112050,461206521,5.391547,10.4272,188547,42296373,19241711,2881343,-8348481,87888,0.157456,0.078004,12.1197,2.8781,77923,1410118,3.327937,29035,18.006434,92568,336255294,10.937414,5.670735,306367905,-68,94.019895,4903211,2.294882,32.709687,0.934013,79748320,75.912407,34263883,69.552838,59691,2.812375,68.1842,1382100,2518064,154838616,9.16123,9.369652,5.550516,16.341926,9017533,37.869266,2.756445,2
12,532080000,473823000,58257000,108307000,448695000,12291000,1397000,2820000,2942000,9.408516,25543000,0.194899,0.37933,304.133685,55.683544,0.041637,-3.984071,40040000,45909000,1,299739000,5.539784,64.677183,82648000,459459000,5.383587,9.9384,190000,40040000,7394000,1137000,-9224000,98000,0.164558,0.089633,11.3952,3.034254,35000,1270000,3.715939,31000,19.388344,28000,157047000,14.460115,4.749194,296281000,-31000,94.439179,4989000,2.464433,31.647121,0.439451,60081000,75.71805,20015000,68.835416,48086,2.985891,66.031714,1396000,2722000,163178000,12.423495,11.869268,4.702439,21.315575,13562000,36.197156,2.964941,2
13,568834402.9,544903378.1,23931024.82,100742250.6,206899888,145347388.8,238061.9935,16192962.83,23525970.36,3.974706,169431164.2,0.519078,1.57142,61.59664,49.774865,0.044009,7.209751,20587964.22,25682770.14,0.139626,285903937,44.959087,65.976757,16902820.42,533015218.4,3.527613,18.9,1177604.019,22775900.55,139831750.7,4492750.621,0,0,1.08633,0,21.1,1.717096,0,0,0,0,21.174295,-3178022.894,0,19.891187,-1.474129,283136553.6,0,48.510825,1370566.879,0.762993,21.440076,1.57142,21216280.34,21.150213,29276738.3,156.388807,21663,1.285865,136.847128,237363.8645,0,249878664.8,4.436702,5.176667,-1.498844,10.400163,0,22.061337,1.28285,2
14,501906000,457369000,44537000,289548000,372602000,7355000,661000,45974000,21102000,5.979668,31512000,5.743896,0.78633,299.29391,28.032341,0.083597,-5.069942,42931000,48216000,1,144087000,7.902478,34.158718,38010000,279466000,5.998765,13.0281,975000,42931000,3084000,1133000,-1202000,672000,0.9732,0.793287,15.2795,3.651941,289000,967000,4.905317,413000,27.442371,596000,106076000,17.674535,9.854382,140696000,0,87.381915,2322000,1.196868,58.473898,0.78633,3936000,50.205417,171747000,41.351433,4908,2.676173,37.760398,661000,1687000,138770000,9.829441,9.72453,9.953985,34.690396,90645000,49.253213,2.556252,4
15,388439751,351535313,36904438,161074342,316558923,20789295,665403,76727790,439950,7.073438,23392669,0.817229,0.713251,288.859379,48.395751,0.112717,-7.006071,28145648,31323320,1,191942922,6.93428,55.195224,73099314,347871259,5.460083,11.0726,374961,28145648,20789295,1369035,-4919122,290396,0.442773,0.367701,12.3227,3.992237,488361,1486915,5.483391,16113,20.837557,-51195,213117485,14.51828,5.141136,187988336,-62540,93.06572,4463578,3.169504,41.467008,0.741349,0,65.439469,10778923,61.136974,32302,3.667373,59.384943,665394,2566250,159882923,10.498074,9.500685,5.196996,19.631238,15808805,38.745557,3.629709,2
16,391985482.4,366702460,24607138.76,63324863.66,308068188,31764805.95,580035.5735,5927674.165,6138718.327,9.422685,55688913.55,2.782369,0.698533,87.899961,73.711734,0.048211,0.998605,23504447.15,28272023.87,0.000773,290724374.2,16.414986,84.605115,30392123.62,365875849.3,4.990311,14.9,858753.1824,24180369.48,27538412.61,2030805.148,15052641.98,622966.1942,1.007266,0.878767,17.43,2.916719,8644.906717,530197.9995,3.215724,104902.157,26.147119,-52989.40317,0,15.166572,1.893729,288939297.3,-6461.443206,83.585014,2107189.245,1.840734,21.37114,0.698533,20446902.12,41.390788,13708381.8,102.523821,0,2.077521,93.790696,579445.4273,2315755.257,76936551.99,6.77599,7.355765,1.871431,9.979097,138643462.2,20.867344,2.058902,3
17,399359982.7,364104199.3,29784464.08,196080144.5,278575212.7,13512969.32,1564535.659,103039934.5,132458209.8,21.213994,154909335.7,2.650454,2.017963,268.656006,36.783517,0.327283,-17.748025,22963001.09,32263432.29,0.190934,155319082,48.771488,45.651555,67496934.48,332080925.3,7.039381,15.41,9728947.451,28342435.58,3356355.468,3134281.537,-1233344.226,2359263.011,12.045484,7.159661,17.54,16.264793,3138771.36,1134809.074,18.615474,3181542.965,19.894751,0,41412621.46,16.193857,3.441056,146898646.4,0,43.189239,4322366.092,3.760912,51.346208,2.017963,8976061.662,46.054804,23849367.42,113.223785,0,4.575962,52.732131,1455785.706,7115051.605,185182278.8,8.286838,10.001272,3.236162,27.189548,74513651.03,28.787315,4.542018,1
18,382564770.2,359703389.8,21485220.62,76009854.65,293652190,35129411.84,634339.0767,8084144.096,3875240.121,11.925729,46817341.19,3.637746,0.306512,181.037541,68.379707,0.018431,-3.041186,0,25986773.67,0.000773,263056374.7,14.280174,79.814834,39708014.17,349803248.3,0,0,835066.1226,0,29115872.57,806299.7836,13275243.13,631766.5653,1.020689,0.908156,17.94,2.794035,15105.57647,307780.1812,3.206878,71114.54802,25.36902,51751.87514,0,14.833377,2.841937,261596669.4,306.288186,85.719826,1795431.184,1.677448,24.55091,0.306512,17913277.73,37.861239,10398551.22,93.60398,0,1.954096,89.083848,623506.8392,2079532.04,88206578.95,6.05105,7.188001,2.872316,10.511892,136871005.8,19.35947,1.926264,2
19,405223010,361744285,43478600,221415096,357270133,98506,618085,1888036,909433,5.61672,1010449,-2.907671,0.623824,207.620497,38.852303,0.039807,-2.462943,35284780,37501140,1,159504351,0.282747,44.058163,198511569,361859534,6.547218,17.4085,178245,35284800,72206,995027,-4504405,176785,0.196624,0.195553,18.502,1.826398,51389,215083,3.501371,13655,16.660824,-17396,299980000,21.451139,2.711942,157438471,-6,99.717253,2101604,1.853839,54.640307,0.63034,0,50.01855,159011745,44.759558,25206,1.685047,44.067068,618086,1378021,204421063,12.020023,10.736039,2.675158,27.632954,7025190,11.88138,2.130759,1
20,363368805.5,340881884,22074302.52,58415645.67,274318916.9,27266315.78,548545.1259,6892122.296,3850668.229,10.038151,41007816.92,3.509824,0.325909,156.25708,67.914018,0.006297,-2.060209,0,24308298.94,0.000773,248041522.9,13.601178,80.782047,25061057.08,319226725.3,0,14.8,821460.2754,0,22339411.19,808390.4325,7774076.035,650724.7212,1.084717,1.009113,16.75,2.862281,22919.01904,259016.9362,3.234602,11256.09085,27.026738,-23526.95469,0,15.211145,1.529919,246778355.6,-4271.0186,86.332215,1550125.285,1.595119,22.859214,0.325909,24647607.47,39.937183,21404027.18,95.293086,0,1.900865,89.960386,539511.9448,1990246.713,72448369.65,6.562553,7.430799,1.574154,10.941481,218955246.6,14.995354,1.878144,2
21,347150685.1,328490479.5,17116697.96,63326052.46,269316537,30117597.37,649219.5778,5673758.938,2487031.456,15.391693,41011302.89,3.867523,0.237377,203.708433,70.806692,0.01101,-3.55247,16613453.32,19840480.9,0.000773,247000304.7,13.765181,81.009945,28012386.62,310811947,4.21665,13.43,785146.5623,17621807.4,24586815.45,586322.2158,9939801.129,599054.0589,1.048736,0.948841,15.12,2.840803,17212.46793,289452.3911,3.192986,13209.83822,23.196522,168733.0791,0,13.044724,2.049862,245805916.9,19383.55616,86.2199,1659232.717,1.631164,22.72958,0.237377,15579839.75,37.797848,23726311.17,96.154218,0,1.901327,91.270265,612229.8651,1951322.59,65006030.02,5.274739,6.523818,2.107629,9.213562,211557230.6,24.720313,1.883328,2
22,407901000,390330000,17571000,270321000,389489000,0,851000,2360000,0,17.634108,0,-6.149181,0.048161,185,10.171586,0,-0.09675,31519000,31558000,1,41527000,0,10.652419,226471000,359675000,7.60511,28.2824,25000,31519000,0,20000,-13990000,25000,0.024933,0.024933,28.3174,1.730722,91000,395000,2.356202,4000,23.74552,4000,323536000,15.766663,5.698927,41490000,4000,100,1550000,1.475559,88.157666,0.052975,89275000,27.321335,41490000,10.661919,934,1.703688,10.652419,851000,238000,318185000,4.501576,4.307663,5.717777,42.349964,0,0.320718,1.728607,1
23,339751834.2,314941124.1,22488177.2,91106076.97,271123104.9,30158344.17,882416.0449,7022117.975,38084434.33,15.630008,71925376.7,0.45555,2.252534,87.83815,57.538961,0.035444,2.429526,20362672.16,26601103.55,1.0387,199436606.3,23.503487,64.49679,9456609.217,263744278.7,6.678827,15.8,1030972.977,22691437.26,22478197.37,4492376.918,-465337.5397,0,1.342324,0,18.5,3.897916,0,350976.6845,0,573985.5456,19.029987,-11260.54524,69580426.58,15.670691,3.329896,195489676.7,-12489.32718,76.151446,2265810.538,1.770989,38.805632,2.252534,40736770.02,42.238093,67260352.28,85.580906,44773,2.417611,72.103658,659299.159,0,68254602.03,7.26401,8.879518,3.199071,15.432183,26425563.27,30.462522,2.375624,2
24,326951836,297663293.9,29288542.05,103752166.3,156898184.6,13361499.51,1350921.46,17450799.19,40454857.48,18.545981,62415337.84,2.233235,3.955605,194.764043,34.134218,0.543751,-15.475689,22114939.45,29118264.05,0.190934,120918097.1,30.188873,54.098203,48781754.86,267339979.8,7.570503,13.3,5232916.562,24751899.79,3090047.566,4783041.812,-1285224.167,4393205.631,9.779955,16.579836,15.6,13.782772,0,1508603.135,16.565526,4219836.973,23.999567,0,25730854.81,15.738731,2.189766,111602451.5,0,52.161846,9192040.966,4.871777,34.90884,3.955605,10382925.96,56.917295,23271325.26,112.122797,0,8.41202,71.130493,1350921.46,4951677.014,155737528.4,10.191153,12.09964,2.287845,35.447245,72071041.7,62.158726,8.370292,4
25,398122201,379459542.2,18662658.82,133707284.2,250487597.1,49233896.26,565429.5119,10195833.48,17019031.41,12.318919,99091981.78,9.199777,0.437749,88.659441,48.49682,0.000558,0.51559,15347137.37,18142339.76,0.096804,193828868.8,32.548234,58.447027,0,306906542.9,3.38948,20.3,230198.8323,16739849.99,46432304.83,848483.0803,2003446.187,101546.9197,0.292735,0.213713,22,1.31241,83347.85307,218969.6209,1.654964,106580.7041,19.821551,111711.292,0,22.653741,3.267561,193076608.5,0,65.899744,1359315.392,0.786101,33.584483,0.437749,0,20.692701,81249442.6,96.610348,16000,1.508218,77.080307,565429.5119,789239.3101,113829934.4,4.954803,5.391372,3.273532,11.11696,21196007.62,46.385042,1.474776,2
