index,Total_assets,Total_liabilities,Equity,Liquid_assets,Deposits_and_short-term_funding,Long-term_funding,Net_income,Interbank_assets,Interbank_liabilities,Return_on_average_equity_(ROAE),Wholesale_funding,Growth_in_total_assets,Impaired_loans_/_Gross_customer_loans_&_advances,Loan_loss_reserves_/_Impaired_loans,Customer_loans_&_advances_/_Total_assets,Net_charge_offs_(NCOs)_/_Average_gross_customer_loans_&_advances,Unreserved_impaired_loans_/_Total_equity,Total_Common_Equity_/_Core_Tier_1,Total_Capital,Exchange_rate_from_original_currency,Gross_loans_&_advances_to_customers,Wholesale_funding_/_Total_funding_excluding_derivatives,Loans_&_advances_to_customers_/_Total_deposits_&_other_interest-bearing_liabilities,Financial_assets:_Available_for_sale_(AFS),Total_Earning_Assets,Unadjusted_leverage_ratio_(computed),Tier_1_Ratio,Interest_Expense,Tier_1_Capital,Long-term_borrowings_and_debt_securities_at_historical_cost_>_1_year,Impaired_/_Non-performing_loans_to_customers,Other_reserves,Interest_expense_on_customer_deposits,Interest_expense_/_average_interest_bearing_liabilities,Interest_expense_on_customer_deposits_/_Average_customer_deposits,Total_capital_adequacy_ratio,Interest_income_/_average_interest_earning_assets,Interest_income_on_bank_loans_(including_central_banks),Other_administrative_expenses,Interest_income_on_loans_/_Average_gross_customer_loans_&_advances,Other_interest_income,Effective_tax_rate,Total_net_trading_income_(losses)_and_fair_value_(FV)_gains_(losses),Savings_deposits,Total_equity_/_Risk-weighted_assets_(RWAs),Growth_in_net_customer_loans_&_advances,Net_loans_&_advances_to_customers,Net_gains_(losses)_on_other_securities_(including_FV_through_OCI),Customer_deposits_/_Total_funding_excluding_derivatives,Operating_revenue_after_impairments,Net_interest_income_(expenses)_/_Average_total_assets,Liquid_assets_(including_available_for_sale_&_held_to_maturity)_/_Total_assets,Impaired_loans_+_foreclosed_assets_/_gross_customer_loans_&_advances_+_foreclosed_assets,Financial_assets:_Held_to_maturity_(HTM),Risk_weighted_asset_intensity_(RWA_/_Total_Assets),Minimum_risk_assets,Gross_loans_&_advances_to_customers_/_Customer_deposits,Number_of_employees,Net_interest_margin_(average_interest_earning_assets),Loans_&_advances_to_customers_/_Deposits_&_short-term_funding,Profit_attributable_to_group_equity_holders,Interest_income_on_customer_loans_&_advances,Total_other_earning_assets,Total_equity_/_Total_liabilities_excluding_hybrid_capital_and_subordinated_liabilities,Capital_funds_/_Total_assets,Growth_in_gross_customer_loans_&advances,Capital_funds_/_Net_loans_&_advances_to_customers,Time_deposits,Non-interest_income_/_Operating_revenues,Net_interest_margin_(interest_earning_assets),rank_next_quarter
3778,99397,91641,7756,17384,80397,9782,87,8426,0,4.465833,9782,9.294731,1.124815,95.959596,78.833365,0,0.464157,7816,8567,1,79213,10.847315,86.891627,7701,95320,7.112049,13.0351,145,7816,9782,891,-60,126,0.673819,0.660828,14.2876,3.983448,1,71,4.626964,2,22.321429,0,20190,12.935074,2.295039,78358,0,89.152685,897,3.320357,17.489461,1.124815,0,60.324758,8958,98.527308,17,3.395786,97.463836,87,906,16962,8.463553,7.803052,2.29744,9.89816,41531,13.943355,3.344446,3
3779,83419,75611,7809,39172,75470,0,166,26448,0,8.457521,0,11.10534,0.039313,2200,45.343387,0.028871,-4.033807,7874,7874,1,38155,0,50.119253,8208,77664,9.336907,0,22,7874,0,15,-65,22,0.123472,0.123472,0,2.894204,18,54,5.648146,0,0,0,21727,0,0.312939,37825,0,100,659,2.811356,53.17134,0.039313,5183,0,17907,50.556513,14,2.784234,50.119253,166,538,39839,10.327999,9.361177,0.283859,20.645076,7932,15.477997,2.868768,2
3780,93651,87358,6293,33238,86763,0,71,32854,0,4.538554,0,4.358146,0.069354,1216.129032,47.325709,-0.188233,-5.498173,6293,6670,1,44698,0,51.082835,0,91179,5.500826,19.6767,37,6293,0,31,0,37,0.174389,0.174389,20.8555,2.685811,108,57,4.40741,9,26.041667,0,46667,19.676693,5.398207,44321,0,100,719,2.612996,49.175129,0.069354,12815,34.150196,13199,51.517352,19,2.561635,51.082835,71,480,46858,7.203691,6.719629,5.35024,14.198687,13809,5.965463,2.662518,2
3781,92589,83205,9385,22244,82459,0,662,16248,0,28.614653,0,8.597333,0.018701,12533.33333,67.677586,-0.031162,-15.897709,9140,9910,1,64166,0,75.991705,1,84205,8.259161,15.0136,33,9140,0,12,0,31,0.167247,0.157111,16.2785,5.815664,17,46,7.682278,2,0,0,15614,15.416078,11.246827,62662,0,100,1278,5.253925,28.939723,0.496324,4551,65.750791,10547,77.815642,20,5.706922,75.991705,662,1171,21543,11.279506,10.136193,11.058033,14.977179,9647,10.97561,5.597757,2
3782,101397,89065,12332,31051,85988,3000,54,26745,0,1.755241,7000,-2.009162,1.436226,80.326198,66.585796,0,1.565034,12253,12253,1,68304,7.866229,75.870904,3948,98209,11.763407,0,295,12253,3000,981,79,257,1.310274,1.25278,0,3.172945,26,23,4.251101,27,8.474576,0,22023,0,-0.845914,67516,0,92.133771,533,1.991478,30.623194,1.436226,0,0,4306,83.309753,11,2.010189,78.517933,54,729,30693,13.846067,12.162096,-0.841995,18.2653,58709,3.591682,2.077203,3
3783,79449,72741,6709,41593,72663,0,330,27147,0,19.852609,0,5.131598,2.331156,48.200514,41.534821,-0.002958,6.006856,6741,6741,1,33374,0,45.413759,11672,75623,7.796669,0,46,6741,0,778,-32,46,0.260076,0.260076,0,3.537264,49,49,7.004259,5,0,0,28410,0,-2.562967,32999,0,100,735,3.266675,56.692973,2.331156,3449,0,17895,45.92984,14,3.312987,45.413759,330,592,42624,9.223261,8.444411,-2.534899,20.330919,9239,13.877551,3.364024,1
3784,82207,64349,17857,36363,62839,1000,288,16,1200,6.360951,2200,-0.990016,3.008354,55.457464,49.54201,-0.041353,3.108025,17042,17042,1,41418,3.446169,63.796425,35030,79382,18.216217,0,103,17042,1000,1246,815,97,0.64377,0.621815,0,2.879279,0,9,4.39801,11,7.395498,42,25192,0,1.495253,40727,42,96.553831,680,2.832313,44.233459,3.101934,0,0,36307,67.194471,9,2.543976,64.811662,288,452,38655,27.749806,21.721994,1.512218,43.845606,21967,13.970588,3.088171,2
3785,92542,82659,9882,19193,77524,4346,547,16859,0,22.650104,4907,4.56605,6.325742,18.56261,76.576041,0.005535,37.381097,9882,9882,1,71707,5.993648,86.557958,549,88728,9.735961,0,118,9882,4346,4536,13,93,0.58908,0.495017,0,5.529647,32,42,6.409653,8,7.757167,0,29469,0,-1.590057,70865,0,94.006352,1259,4.790022,20.739772,6.536894,0,0,2334,93.170744,22,5.012949,91.410402,547,1158,17863,11.955141,10.678395,-1.535187,13.944825,15954,15.968992,4.912034,3
3786,70447,65346,5103,25289,65082,0,170,12341,0,13.354281,1500,4.296395,0.403254,467.613636,60.786123,-0.04833,-12.678816,5099,5608,1,43645,2.304785,65.796995,12390,68495,6.930908,12.6147,128,5099,0,176,4,119,0.8045,0.765988,13.874,4.630026,34,25,7.235654,2,0,0,23499,12.624626,0.755276,42822,0,97.695215,702,4.116181,35.897909,0.403254,0,57.377887,12948,68.643641,15,3.974335,65.796995,170,786,25673,7.809439,7.243744,0.894632,11.916772,15877,4.953146,4.204106,2
3787,99031,90255,8776,45084,86657,3150,102,24937,0,4.6361,7150,5.60941,0.677021,244.257703,52.366431,-0.009554,-5.868277,8824,9590,1,52731,7.961517,57.744942,18323,95119,8.481353,14.424,143,8824,3150,357,-48,119,0.656208,0.595614,15.6761,3.326581,0,53,5.418884,5,27.659574,10,26140,14.345495,1.5032,51859,10,92.038483,735,2.796651,45.525139,0.861269,0,61.774596,20147,63.79496,23,2.744328,59.843983,102,709,43260,9.723561,8.861872,1.522911,16.92281,20541,10.491368,2.834344,2
