index,Total_assets,Total_liabilities,Equity,Liquid_assets,Deposits_and_short-term_funding,Long-term_funding,Net_income,Interbank_assets,Interbank_liabilities,Return_on_average_equity_(ROAE),Wholesale_funding,Growth_in_total_assets,Impaired_loans_/_Gross_customer_loans_&_advances,Loan_loss_reserves_/_Impaired_loans,Customer_loans_&_advances_/_Total_assets,Net_charge_offs_(NCOs)_/_Average_gross_customer_loans_&_advances,Unreserved_impaired_loans_/_Total_equity,Total_Common_Equity_/_Core_Tier_1,Total_Capital,Exchange_rate_from_original_currency,Gross_loans_&_advances_to_customers,Wholesale_funding_/_Total_funding_excluding_derivatives,Loans_&_advances_to_customers_/_Total_deposits_&_other_interest-bearing_liabilities,Financial_assets:_Available_for_sale_(AFS),Total_Earning_Assets,Unadjusted_leverage_ratio_(computed),Tier_1_Ratio,Interest_Expense,Tier_1_Capital,Long-term_borrowings_and_debt_securities_at_historical_cost_>_1_year,Impaired_/_Non-performing_loans_to_customers,Other_reserves,Interest_expense_on_customer_deposits,Interest_expense_/_average_interest_bearing_liabilities,Interest_expense_on_customer_deposits_/_Average_customer_deposits,Total_capital_adequacy_ratio,Interest_income_/_average_interest_earning_assets,Interest_income_on_bank_loans_(including_central_banks),Other_administrative_expenses,Interest_income_on_loans_/_Average_gross_customer_loans_&_advances,Other_interest_income,Effective_tax_rate,Total_net_trading_income_(losses)_and_fair_value_(FV)_gains_(losses),Savings_deposits,Total_equity_/_Risk-weighted_assets_(RWAs),Growth_in_net_customer_loans_&_advances,Net_loans_&_advances_to_customers,Net_gains_(losses)_on_other_securities_(including_FV_through_OCI),Customer_deposits_/_Total_funding_excluding_derivatives,Operating_revenue_after_impairments,Net_interest_income_(expenses)_/_Average_total_assets,Liquid_assets_(including_available_for_sale_&_held_to_maturity)_/_Total_assets,Impaired_loans_+_foreclosed_assets_/_gross_customer_loans_&_advances_+_foreclosed_assets,Financial_assets:_Held_to_maturity_(HTM),Risk_weighted_asset_intensity_(RWA_/_Total_Assets),Minimum_risk_assets,Gross_loans_&_advances_to_customers_/_Customer_deposits,Number_of_employees,Net_interest_margin_(average_interest_earning_assets),Loans_&_advances_to_customers_/_Deposits_&_short-term_funding,Profit_attributable_to_group_equity_holders,Interest_income_on_customer_loans_&_advances,Total_other_earning_assets,Total_equity_/_Total_liabilities_excluding_hybrid_capital_and_subordinated_liabilities,Capital_funds_/_Total_assets,Growth_in_gross_customer_loans_&advances,Capital_funds_/_Net_loans_&_advances_to_customers,Time_deposits,Non-interest_income_/_Operating_revenues,Net_interest_margin_(interest_earning_assets),rank_pre
4422,36429,27061,9368,24561,26446,0,37,2806,0,1.602165,0,-1.596434,6.810136,10.123119,29.262401,0,7.013237,9214,9288,1,10734,0,40.308553,21641,35107,16.962133,88.7925,43,9214,0,731,378,43,0.641887,0.654092,89.5056,2.370574,7,11,4.389322,0,9.756098,0,6317,90.276573,-2.031063,10660,0,100,244,2.537815,67.42156,6.810136,0,28.485547,21755,40.588369,5,2.001245,40.308553,37,119,24447,34.618085,25.715776,-2.017344,87.879925,18700,4.508197,2.654741,1
4423,26734,24206,2528,11931,24155,0,59,6105,0,9.462711,0,-0.550554,0.175871,640,52.573502,-0.055479,-5.34019,2519,2679,1,14215,0,58.186711,3154,23636,8.952943,14.7855,10,2519,0,25,9,10,0.164853,0.164853,15.7246,3.695335,6,23,5.575589,3,0,0,6155,14.838293,-2.888137,14055,0,100,253,3.297523,44.628563,0.175871,0,63.727837,5826,58.8491,7,3.581485,58.186711,59,201,9581,10.443692,9.456123,-2.803419,17.986482,5934,12.648221,3.791713,1
4424,31271,27967,3304,3376,27942,0,133,2404,0,16.18251,0,2.675992,1.913955,70.434783,75.821048,-0.046338,4.116223,3304,3587,1,24034,0,84.854341,1,29242,10.194699,14.624,33,3304,0,460,0,33,0.479016,0.479016,15.8766,5.255436,0,29,6.487352,4,0,0,2691,14.623999,2.463267,23710,0,100,385,4.678666,20.795625,1.918036,3127,72.249049,4099,86.013886,10,4.815259,84.854341,133,385,5532,11.813924,10.5657,2.521008,13.935049,12817,8.607595,4.938103,3
4425,24875,22226,2649,8027,22107,0,31,4500,0,4.73825,0,-5.797925,0.035066,5700,44.940704,-0.017469,-8.456021,2587,2749,1,11407,0,50.567693,2180,23110,10.140326,19.9491,10,2587,0,4,62,10,0.174486,0.174486,21.1983,3.288152,18,21,5.41532,1,0,0,7728,20.427205,-0.772235,11179,0,100,273,3.354069,53.378894,0.035066,5251,52.132663,8778,51.599041,13,3.142012,50.567693,31,155,11931,11.918474,10.649246,-0.731007,23.696216,3888,21.245421,3.721333,1
4426,35840,29289,6551,24775,28531,0,39,9224,0,2.409639,0,1.134376,2.112535,68.720379,27.463728,-0.155167,1.00748,6217,6362,1,9988,0,34.499317,15092,34312,16.599471,37.2008,47,6217,0,211,334,47,0.661762,0.661762,38.0685,2.843063,40,18,4.468811,2,29.090909,0,8477,39.199378,6.803385,9843,0,100,259,2.839586,69.126674,2.502992,0,46.629464,14306,35.007536,6,2.406373,34.499317,39,108,24469,22.366759,18.27846,6.869249,66.554912,8923,2.316602,2.962616,1
4427,22611,1598,21013,19196,0,0,510,0,0,9.84366,0,3.925174,0,0,0,0,0,20962,20962,1,0,0,0,19189,19189,92.707089,208.37,0,20962,0,0,51,0,0,0,208.37,1.263823,0,106,0,0,31.726908,-18,0,208.87674,0,0,-18,0,3193,1.60476,84.896732,0,0,44.491619,14461,0,35,1.263823,0,510,0,19189,1314.956195,92.932643,0,0,0,97.212653,1.85523,1
4428,31471,23358,8113,4076,23334,0,-1,1410,0,-0.049301,0,0.469289,2.015677,65.432099,25.200979,0,0.69025,8113,8219,1,8037,0,33.989029,0,28344,24.69786,69.1822,6,8113,0,162,0,6,0.103173,0.103173,70.0861,2.24877,0,20,5.080461,1,0,0,5706,69.182229,-1.795443,7931,0,100,209,2.624413,73.334181,3.622568,19003,37.262877,21669,34.443302,11,2.185126,33.989029,-1,103,20413,34.733282,25.779289,-1.772183,102.294793,3448,1.435407,2.907141,1
4429,28919,25006,3913,14165,24475,500,109,3178,0,11.235666,500,-3.326202,0,0,49.161451,0,-5.392282,3705,3916,1,14428,2.002002,56.924925,9971,27366,12.14157,21.4435,23,3705,500,0,208,23,0.360855,0.368074,22.6647,3.266061,14,9,5.073706,1,0.909091,0,8578,22.647297,-2.160897,14217,0,97.997998,263,3.29067,48.981638,0,0,59.746188,10987,58.949949,6,2.982591,58.087845,109,185,13149,15.648244,13.530897,-2.129969,27.523387,9297,7.984791,3.537236,2
4430,23835,21312,2523,11182,21265,0,31,5279,0,4.948125,0,4.484482,0.689268,286.046512,51.315293,0,-6.341657,2468,2642,1,12477,0,57.517047,4523,22033,9.415535,17.8092,5,2468,0,86,-12,5,0.096297,0.096297,19.0648,3.511586,12,18,5.348244,1,0,0,6075,18.20609,2.28299,12231,0,100,230,3.481467,46.914202,1.164553,0,58.141389,2432,58.673877,7,3.427173,57.517047,31,165,9802,11.838401,10.585274,2.236971,20.627913,3154,11.73913,3.685381,3
4431,30173,26514,3659,7916,24465,2000,66,2761,0,7.264722,2000,-2.727361,0.283757,486.206897,33.404037,0,-3.060946,3659,3802,1,10220,7.557151,38.084262,4730,29101,11.988074,18.339,43,3659,2000,29,-19,28,0.639073,0.449546,19.0557,2.220137,4,21,4.428661,2,4.347826,0,5313,18.339014,14.703539,10079,0,92.442849,189,2.144071,64.451662,0.875401,11531,66.125344,16427,41.773963,6,1.758949,41.197629,66,106,19022,13.800256,12.126736,14.471326,36.303205,9572,13.227513,2.254218,1
