Sourceid,Targetid,Weights
0,1,557184.49
0,2,173386.47
0,3,7615.99
0,4,55.8
0,5,145.16
0,6,61.33
0,7,126.05
0,8,240.56
0,9,33.11
0,10,163041.18
0,11,1261.44
0,12,203.29
0,13,13667.51
0,14,29.88
0,15,166.7
0,16,59454.7
0,17,102.23
0,18,275.68
0,19,112.17
0,20,218.12
0,21,275.17
0,22,78.75
0,23,63.92
0,24,19.08
0,25,829.08
0,26,20.43
0,27,150.12
0,28,81.34
0,29,68.21
0,30,278.02
0,31,181.73
0,32,661.19
0,33,26557.9
0,34,502.98
0,35,164.67
0,36,40.72
0,37,171.74
0,38,162.45
0,39,18548.82
0,40,4242.82
0,42,181.07
0,43,350.61
0,44,759.99
0,45,101.46
0,46,29309.18
0,47,3412.52
0,48,35333.29
0,49,6430.5
0,50,522.19
0,51,21.37
0,52,79.56
0,53,93414.39
0,54,7460.41
0,55,806.21
0,56,128.63
0,57,41.1
0,58,228.8
0,59,83.15
0,60,129.99
0,61,63.46
0,62,232.91
0,63,31049.49
0,64,1977.6
0,65,774.15
0,66,487.62
0,67,309.05
0,68,21.1
0,69,2084.77
0,70,2082.46
0,71,262.93
0,72,187.93
0,73,26.99
0,74,48528.84
0,75,321.46
0,76,320.35
0,77,428.45
0,78,12285.53
0,79,149.05
0,80,15627.0
0,81,78.64
0,82,333.36
0,83,81.52
0,84,22.6
0,85,704.55
0,86,125.72
0,87,91.58
0,88,216.93
0,89,32852.03
0,90,9435.29
0,91,103.86
0,92,227.07
0,93,36559.12
0,94,294.9
0,95,1886.16
0,96,194.93
0,97,114.01
0,98,157.45
0,99,196.58
0,100,218.41
0,103,439.59
0,104,400.79
0,105,14100.29
0,107,242.6
0,108,91.47
0,109,50.93
0,110,73.25
0,111,92.89
0,112,114.48
0,113,1569.89
0,114,160.06
0,115,72.39
0,116,153.2
0,117,181.73
0,119,18423.02
0,120,28.62
0,121,19.45
0,123,120.85
0,124,38.93
0,125,157.96
0,127,5554.33
0,129,42.52
0,130,23200.61
0,131,485.66
0,133,1175.75
0,135,574.18
0,136,208.64
0,139,105.64
0,140,43.37
0,141,99.72
0,142,290.38
0,143,193.16
0,145,66.28
0,146,130.18
0,147,209.78
0,148,129.42
0,149,14551.13
0,150,247.26
0,153,63.03
0,154,8073.21
0,157,28.0
0,160,316.28
0,162,324.15
0,163,9255.0
0,166,1560.56
0,167,180.78
0,168,2884.26
0,170,50.36
0,171,5142.53
0,173,322.65
0,174,2676.88
0,176,583.72
0,181,1895.53
0,183,89.44
0,184,0.4
0,185,65.19
0,187,236.13
0,188,1061.64
0,189,311.01
0,191,28.39
0,192,2919.8
0,193,303.55
0,194,545.24
0,195,15043.55
0,196,10974.87
0,197,2.35
0,200,87.72
0,202,9252.59
0,207,260.84
0,208,38.22
0,209,107.11
0,211,496.5
0,212,69.32
0,216,32.13
0,217,239.62
0,218,41.27
0,221,260.41
0,223,6153.1
0,226,5745.84
0,231,3537.58
0,238,8930.54
0,241,90.74
0,244,114.62
0,247,2852.35
0,254,931.49
0,256,63.75
0,257,3326.3
0,258,37.85
0,259,26.02
0,269,6325.24
0,273,1001.46
0,276,33.64
0,277,16.6
0,287,3199.52
0,290,66.19
0,293,165.78
0,300,5262.28
0,304,162.76
0,313,1364.81
0,315,8820.47
0,319,1619.82
0,322,77.67
0,324,4967.12
0,328,3907.72
0,329,16.59
0,338,3457.29
0,341,565.69
0,348,51.42
0,349,475.82
0,350,2379.43
0,354,45.63
0,365,1570.94
0,367,229.44
0,368,1124.53
0,369,35.42
0,388,114.66
0,390,233.06
0,399,3094.71
0,405,163.01
0,411,2607.92
0,416,2190.48
0,426,2081.56
0,427,107.35
