Sourceid,Targetid,Weights
0,1,2128.84
0,2,274.99
0,3,171197.34
0,4,271.63
0,5,298659.38
0,6,199.01
0,7,451.26
0,8,166.32
0,9,28.1
0,10,52.15
0,11,233626.24
0,12,482.24
0,13,1620.62
0,14,69477.7
0,15,222.79
0,16,364.19
0,17,17.61
0,18,310.15
0,19,106.27
0,20,315.67
0,21,90418.66
0,22,61.71
0,23,13.9
0,24,71.96
0,25,184.8
0,26,40175.44
0,27,1198.04
0,28,293.69
0,29,38171.7
0,30,139.64
0,31,340.34
0,32,38763.06
0,33,2545.89
0,34,190.89
0,35,123.79
0,36,170.98
0,37,73.88
0,38,45.89
0,39,2321.25
0,40,279.04
0,41,25.01
0,42,98.48
0,43,146.46
0,44,347.51
0,45,40195.48
0,46,374.81
0,47,186.36
0,48,3731.18
0,49,9718.25
0,50,97.74
0,51,23087.65
0,52,239.55
0,53,33.06
0,54,1140.79
0,55,463.96
0,56,7530.26
0,57,398.78
0,58,44.36
0,59,144.86
0,60,999.38
0,61,361.63
0,62,47626.07
0,63,160.54
0,64,98.6
0,65,13056.02
0,66,33.6
0,67,50.6
0,68,105.18
0,69,271.44
0,70,115.5
0,71,50.93
0,72,676.98
0,73,4412.17
0,75,288.27
0,76,7767.9
0,77,47.48
0,78,475.82
0,79,46812.91
0,80,5050.79
0,81,713.45
0,82,64.18
0,83,138.7
0,84,70.93
0,85,36.83
0,86,186.84
0,87,539.26
0,88,2118.0
0,89,143.74
0,90,1695.43
0,91,15731.12
0,92,4538.07
0,93,213.25
0,94,13070.14
0,95,257.86
0,96,18302.62
0,97,114.48
0,98,141.77
0,99,238.86
0,100,0.92
0,101,664.64
0,102,6403.49
0,103,336.01
0,104,271.92
0,105,154.28
0,107,10127.17
0,108,642.54
0,109,94.99
0,110,296.38
0,111,131.84
0,112,108.67
0,114,224.14
0,115,163.28
0,116,182.77
0,117,178.2
0,119,45.21
0,120,609.99
0,121,96.91
0,122,332.89
0,123,22326.06
0,125,13448.01
0,126,64.58
0,127,65.19
0,128,179.44
0,129,2259.71
0,130,107.92
0,133,16183.81
0,136,6.09
0,137,65.52
0,139,402.98
0,140,141.63
0,141,64.31
0,142,159.56
0,144,13049.64
0,147,95.34
0,148,165.8
0,150,85.09
0,151,248.22
0,152,807.11
0,153,63.37
0,156,243.5
0,157,13568.14
0,160,790.08
0,162,312.15
0,163,94.24
0,166,20590.53
0,168,123.79
0,169,74.58
0,170,1019.95
0,171,282.2
0,173,222.69
0,175,95.98
0,177,67.32
0,178,6601.07
0,180,3120.51
0,181,1033.76
0,182,51.06
0,183,120.72
0,188,348.85
0,189,203.34
0,192,121.78
0,193,54.1
0,195,1054.69
0,196,132.96
0,199,7161.63
0,200,2329.03
0,202,56.67
0,203,10740.55
0,205,147.93
0,207,8686.48
0,209,381.57
0,212,90.46
0,214,0.92
0,216,615.12
0,217,674.57
0,218,19581.85
0,219,2606.26
0,223,28.43
0,224,123.58
0,227,110.68
0,228,3805.75
0,229,3.02
0,236,197.8
0,238,160.77
0,239,3860.64
0,240,75.45
0,243,3036.41
0,244,53.39
0,246,4649.61
0,251,52.89
0,253,98.16
0,256,6768.85
0,257,100.13
0,259,1130.22
0,263,231.57
0,265,2350.02
0,266,5507.25
0,268,122.95
0,269,44.91
0,270,98.48
0,274,137.53
0,276,144.62
0,279,22.64
0,280,77.66
0,296,313.42
0,297,6883.56
0,299,344.44
0,300,10.81
0,303,4367.35
0,308,333.9
0,310,4830.15
0,311,406.28
0,315,37.19
0,317,36.41
0,318,1106.24
0,321,80.33
0,322,7.95
0,324,137.72
0,329,75.54
0,339,2427.18
0,343,1451.16
0,347,527.08
0,349,92.99
0,350,183.05
0,351,4298.42
0,352,3183.17
0,355,3784.33
0,357,1888.56
0,366,1659.06
0,375,270.01
0,377,3524.78
0,402,570.75
0,403,6505.8
0,421,2366.84
0,424,916.51
0,429,1681.5
0,432,882.66
0,444,1726.04
0,450,1869.43
0,452,1500.82
0,461,826.79
0,463,939.44
0,467,176.48
0,468,1630.92
0,477,1318.14
0,486,184.15
0,510,1811.19
0,517,1885.89
0,538,2292.12
0,542,1573.95
0,551,893.4
0,558,846.97
0,566,1986.06
0,574,543.31
0,577,1587.47
0,580,1502.7
0,595,86.0
0,602,991.9
0,604,1041.37
0,607,46.28
0,612,1296.22
0,615,657.04
0,616,1022.41
0,617,831.06
0,620,942.24
0,625,329.07
0,627,1151.57
0,645,802.99
0,651,1032.39
0,657,1348.56
0,660,332.99
0,671,1010.85
0,675,83.53
0,678,1203.5
0,682,25.66
0,683,799.34
0,684,261.04
0,685,1491.84
0,702,980.96
0,704,826.66
0,707,388.38
0,719,277.93
0,735,425.16
0,737,939.46
0,755,793.22
0,757,947.11
0,765,817.98
0,794,123.79
0,800,624.71
0,830,924.34
0,831,683.32
0,834,253.84
0,837,169.35
0,838,111.28
0,853,611.79
0,856,623.62
0,879,558.4
0,884,471.67
0,889,715.79
0,911,618.19
0,930,310.84
0,932,270.41
0,933,112.42
0,939,545.5
0,941,138.91
0,950,463.6
0,953,412.35
0,963,557.09
0,972,387.5
0,976,432.08
0,987,178.66
0,1001,681.37
0,1004,386.81
0,1024,474.0
0,1029,687.29
0,1031,477.94
0,1033,247.5
0,1041,414.57
0,1043,460.78
0,1055,583.87
0,1059,524.09
0,1063,601.41
0,1071,444.26
0,1080,484.52
0,1099,455.47
0,1133,586.24
0,1146,359.16
0,1148,590.08
0,1150,443.69
0,1151,470.02
0,1153,406.26
0,1158,531.72
0,1165,359.9
0,1175,448.56
0,1176,333.99
0,1181,535.02
0,1195,459.76
0,1197,450.43
0,1221,524.87
0,1223,192.68
0,1227,280.12
0,1228,510.76
0,1233,434.38
0,1236,372.54
0,1240,435.38
0,1246,456.06
0,1257,310.36
0,1274,369.67
0,1296,329.9
0,1313,556.72
0,1316,186.02
0,1319,291.83
0,1322,259.29
0,1323,306.31
0,1325,429.49
0,1336,159.48
0,1346,448.29
0,1352,138.77
0,1356,476.52
0,1365,270.09
0,1367,148.64
0,1369,387.04
0,1372,272.44
0,1375,116.75
0,1385,391.02
0,1386,199.3
0,1390,450.33
0,1412,402.71
0,1415,392.55
0,1420,372.66
0,1430,304.22
0,1433,362.78
0,1449,334.99
0,1453,166.49
0,1455,397.95
0,1463,402.6
0,1468,109.77
0,1480,335.01
0,1493,385.9
0,1496,321.73
0,1514,236.28
0,1536,329.95
0,1546,178.54
0,1553,321.22
0,1559,383.48
0,1572,282.55
0,1579,261.07
0,1594,311.91
0,1605,222.65
0,1606,163.28
0,1627,306.99
0,1628,294.33
0,1634,165.02
0,1637,264.74
0,1643,248.94
0,1646,316.96
0,1649,427.04
0,1657,269.55
0,1663,175.97
0,1667,419.29
0,1671,180.38
0,1686,182.74
0,1692,343.52
0,1695,290.39
0,1700,208.18
0,1705,329.94
0,1714,41.89
0,1715,177.12
0,1732,203.8
0,1767,157.62
0,1768,291.14
0,1786,94.04
0,1823,196.18
0,1827,365.88
0,1829,9.14
0,1834,65.92
0,1845,140.05
0,1861,248.01
0,1862,228.12
0,1865,203.7
0,1868,172.77
0,1884,286.67
0,1888,161.65
0,1891,191.31
0,1909,47.55
0,1914,266.95
0,1924,230.09
0,1945,177.68
0,1958,145.39
0,1959,199.13
0,1961,177.11
0,1969,216.6
0,1984,78.77
0,1989,238.18
0,1996,219.9
0,2001,175.05
0,2027,203.99
0,2040,256.79
0,2052,141.29
0,2076,114.34
0,2083,182.87
0,2086,250.92
0,2093,198.66
0,2103,223.36
0,2104,139.01
0,2116,237.45
0,2131,179.22
0,2137,218.85
0,2161,264.12
0,2162,266.27
0,2195,274.36
0,2196,418.73
0,2198,192.49
0,2204,10.89
0,2229,164.78
0,2235,195.52
0,2250,191.79
0,2253,222.7
0,2255,150.18
0,2257,75.73
0,2274,243.26
0,2285,179.39
0,2291,89.66
0,2295,168.94
0,2296,160.62
0,2315,143.23
0,2319,164.76
0,2333,61.33
0,2336,209.16
0,2342,176.29
0,2366,183.69
0,2375,98.93
0,2377,175.98
0,2379,176.9
0,2382,218.32
0,2394,169.69
0,2405,105.89
0,2410,211.57
0,2413,176.03
0,2416,170.96
0,2420,166.26
0,2436,181.13
0,2451,160.28
0,2452,237.69
0,2455,126.1
0,2466,236.55
0,2467,162.6
0,2470,156.15
0,2482,200.6
0,2496,180.65
0,2499,51.54
0,2501,133.88
0,2502,191.56
0,2509,56.54
0,2519,164.96
0,2529,180.42
0,2532,151.67
0,2533,188.84
0,2540,154.85
0,2549,23.28
0,2550,142.67
0,2559,122.26
0,2562,180.55
0,2576,153.9
0,2580,145.0
0,2590,43.43
0,2593,56.82
0,2596,175.68
0,2599,151.71
0,2605,110.48
0,2638,144.49
0,2641,109.34
0,2650,144.58
0,2654,94.34
0,2656,200.58
0,2670,153.02
0,2684,136.23
0,2709,171.28
0,2715,113.53
0,2725,151.78
0,2728,166.84
0,2729,165.6
0,2744,104.57
0,2747,134.69
0,2748,131.83
0,2771,152.44
0,2775,111.39
0,2785,120.62
0,2786,116.49
0,2793,104.33
0,2799,125.81
0,2802,124.74
0,2813,134.6
0,2817,144.04
0,2820,98.93
0,2832,128.89
0,2837,144.06
0,2845,95.06
0,2923,119.68
0,2925,95.24
0,2927,112.02
0,2938,137.17
0,2949,162.18
0,3024,59.35
0,3040,109.64
0,3056,145.59
0,3070,134.18
0,3073,88.0
0,3075,104.23
0,3094,119.28
0,3095,112.57
0,3114,81.76
0,3119,93.82
0,3123,127.39
0,3128,97.22
0,3132,125.36
0,3133,121.11
0,3149,102.92
0,3153,88.54
0,3164,81.18
0,3177,109.02
0,3180,111.64
0,3193,120.87
0,3201,119.16
0,3202,109.06
0,3203,83.34
0,3209,128.39
0,3233,99.86
0,3247,49.7
0,3249,65.78
0,3251,125.66
0,3265,111.62
0,3274,98.48
0,3289,82.14
0,3291,93.79
0,3308,68.04
0,3322,93.72
0,3323,89.88
0,3339,71.4
0,3340,110.25
0,3342,102.94
0,3362,100.06
0,3366,118.51
0,3371,82.61
0,3377,103.54
0,3383,107.43
0,3390,98.12
0,3408,10.86
0,3411,68.78
0,3431,81.31
0,3443,42.07
0,3448,90.02
0,3453,60.12
0,3455,92.94
0,3458,75.89
0,3462,78.1
0,3465,89.77
0,3475,73.37
0,3483,96.28
0,3490,91.41
0,3499,82.14
0,3508,89.64
0,3510,81.63
0,3530,66.23
0,3545,86.34
0,3560,76.91
0,3562,54.79
0,3567,77.11
0,3568,123.88
0,3575,24.95
0,3591,53.87
0,3599,54.3
0,3602,72.32
0,3642,60.09
0,3667,87.32
0,3670,61.72
0,3680,57.29
0,3713,77.24
0,3715,77.92
0,3738,5.44
0,3746,72.04
0,3752,109.12
0,3763,66.08
0,3772,68.61
0,3778,63.35
0,3786,49.45
0,3816,49.49
0,3825,51.01
0,3826,56.78
0,3839,55.8
0,3844,72.6
0,3846,73.31
0,3849,62.32
0,3863,114.35
0,3868,56.38
0,3873,55.37
0,3888,50.9
0,3889,68.83
0,3897,51.23
0,3899,48.59
0,3926,47.57
0,3942,56.68
0,3948,63.63
0,3964,55.9
0,3966,52.92
0,3971,55.47
0,3972,57.27
0,3973,49.3
0,3987,53.01
0,3993,53.9
0,4014,62.18
0,4015,61.36
0,4027,52.85
0,4034,4.26
0,4047,58.97
0,4059,53.86
0,4060,39.54
0,4088,52.16
0,4092,47.97
0,4095,37.61
0,4100,15.31
0,4170,44.37
0,4171,38.54
0,4172,54.99
0,4183,47.92
0,4192,47.02
0,4193,44.28
0,4198,51.61
0,4211,46.59
0,4227,29.92
0,4229,41.94
0,4232,35.54
0,4241,8.49
0,4245,43.5
0,4251,29.02
0,4258,41.58
0,4296,19.24
0,4310,34.7
0,4311,33.03
0,4322,30.31
0,4332,32.2
0,4334,40.68
0,4347,23.46
0,4351,32.35
0,4359,29.48
0,4374,22.73
0,4388,24.86
0,4404,36.8
0,4406,24.18
0,4416,32.24
0,4417,24.91
0,4419,21.59
0,4429,25.01
0,4432,28.34
0,4437,23.91
0,4453,16.63
0,4471,21.72
0,4488,16.82
0,4497,71.32
0,4504,14.05
0,4507,9.32
0,4508,14.66
0,4517,11.94
0,4525,0.1
0,4546,29350.91
0,4547,103.15
1,0,137.67
1,2,88.91
1,3,118.39
1,4,237.46
1,5,4508.82
1,6,375.03
1,7,129.08
1,8,122.47
1,9,218.0
1,10,335.98
1,11,81.34
1,12,66912.94
1,13,134175.27
1,14,20.45
1,15,1537.24
1,16,492.34
1,17,179.87
1,18,172.22
1,19,807.17
1,20,4710.58
1,21,1386.35
1,22,165.68
1,23,225.97
1,24,376.81
1,25,57.76
1,26,107.53
1,27,87.5
1,28,311.96
1,29,40.1
1,30,1.08
1,31,56.17
1,32,58.41
1,33,110.65
1,34,224.78
1,35,89.95
1,36,23.84
1,37,72.77
1,38,89.79
1,39,510.85
1,40,349.6
1,41,129.97
1,42,342.44
1,43,5026.34
1,44,113.83
1,45,212.17
1,46,24953.06
1,47,977.09
1,48,186.39
1,49,1109.38
1,50,70.69
1,51,130.42
1,52,154.24
1,53,47491.3
1,54,258.36
1,55,28417.82
1,56,332.99
1,57,4900.88
1,58,91.7
1,59,28689.31
1,60,1730.98
1,61,142.94
1,62,362.02
1,63,111.5
1,64,107.36
1,65,143.71
1,66,1621.3
1,67,149.55
1,68,594.62
1,69,644.98
1,70,90.19
1,71,113.06
1,72,102.5
1,73,280.41
1,75,108.59
1,76,189.24
1,77,574.77
1,78,26816.45
1,79,1491.5
1,80,60641.9
1,81,518.5
1,82,272.64
1,83,67.94
1,84,189.98
1,85,221.61
1,86,414.19
1,87,236.17
1,88,148.27
1,89,38211.17
1,90,30702.1
1,91,73.24
1,92,94.45
1,93,469.98
1,94,78.09
1,95,252.95
1,96,110.64
1,97,66.1
1,98,8012.48
1,99,936.86
1,100,116.58
1,101,240.98
1,102,37.49
1,103,132.01
1,104,177.63
1,105,346.64
1,106,330.9
1,107,57.27
1,108,203.29
1,109,168.79
1,110,275.36
1,111,173.77
1,112,8500.66
1,113,364.52
1,114,290.54
1,115,1491.5
1,116,56.17
1,117,229.48
1,119,80.13
1,120,190.27
1,121,127.64
1,122,16860.74
1,123,9.51
1,124,478.75
1,125,2070.26
1,126,667.59
1,127,272.03
1,128,103.7
1,129,25.78
1,132,383.96
1,133,1312.48
1,134,4450.71
1,135,367.05
1,136,82.51
1,137,774.49
1,139,3226.57
1,140,90.77
1,141,3425.86
1,142,96.83
1,143,136.64
1,144,44.29
1,145,108.67
1,146,139.8
1,147,67.97
1,148,105.04
1,149,214.98
1,150,87.62
1,151,41.58
1,153,362.58
1,154,25467.03
1,155,38.93
1,156,347.66
1,160,83.9
1,162,17784.39
1,164,33.44
1,165,5320.92
1,166,1073.59
1,167,12821.75
1,168,40.72
1,169,652.96
1,170,6871.19
1,171,182.1
1,173,15850.87
1,174,456.64
1,175,111.77
1,176,247.3
1,177,455.02
1,178,8.49
1,179,38.42
1,182,7694.72
1,183,79.34
1,184,3199.68
1,185,675.79
1,188,253.08
1,189,230.98
1,190,29.49
1,191,706.75
1,192,6969.76
1,193,91.45
1,194,8704.25
1,196,10777.38
1,197,3074.82
1,198,10813.42
1,199,73.24
1,201,4555.81
1,202,12575.07
1,203,115.75
1,205,35.04
1,208,4889.96
1,209,9945.01
1,211,5486.54
1,213,70.3
1,216,3728.25
1,218,21.28
1,219,98.16
1,220,7677.95
1,221,119.82
1,222,5836.5
1,223,234.71
1,224,34.08
1,229,199.29
1,230,10197.22
1,232,171.88
1,233,989.07
1,234,5522.33
1,237,141.72
1,239,296.36
1,240,39.36
1,244,1811.54
1,248,118.54
1,249,211.74
1,251,29.1
1,252,1614.74
1,254,44.1
1,260,195.62
1,262,125.34
1,263,169.51
1,266,251.98
1,268,210.29
1,269,14.76
1,271,2263.05
1,274,3244.98
1,276,4776.91
1,278,3.45
1,279,60.4
1,280,18.77
1,283,394.64
1,286,5214.7
1,287,175.95
1,290,43.35
1,292,171.08
1,294,4067.98
1,299,136.88
1,306,131.1
1,308,55.88
1,315,57.63
1,316,124.63
1,317,775.53
1,318,17.47
1,319,5702.6
1,323,2014.46
1,325,149.15
1,326,4294.5
1,327,278.88
1,330,2561.65
1,332,105.86
1,334,61.38
1,336,726.35
1,338,4176.47
1,345,2307.86
1,346,2087.14
1,348,1134.93
1,350,1816.45
1,351,73.45
1,354,28.3
1,355,41.87
1,356,508.8
1,359,202.59
1,360,3076.26
1,361,131.98
1,366,109.84
1,369,132.76
1,376,2951.99
1,385,4355.95
1,387,135.2
1,390,74.89
1,393,7479.3
1,396,51.02
1,399,283.62
1,400,2300.46
1,402,2503.48
1,403,62.11
1,404,152.2
1,406,3109.28
1,410,121.36
1,415,82.04
1,416,2244.35
1,428,811.1
1,430,1412.71
1,431,110.26
1,443,2913.21
1,444,69.36
1,445,976.85
1,455,2.08
1,456,1286.23
1,463,635.56
1,465,235.28
1,467,2110.82
1,468,55.81
1,469,2284.39
1,472,1034.14
1,477,397.03
1,485,1610.58
1,487,129.45
1,488,1569.43
1,494,1751.85
1,499,168.95
1,502,234.71
1,503,2080.24
1,504,48.26
1,506,1936.68
1,507,745.4
1,511,1578.69
1,524,1256.1
1,526,1962.5
1,528,1096.02
1,533,864.96
1,548,1076.64
1,549,1800.16
1,554,1747.74
1,563,1537.39
1,568,1323.14
1,573,724.36
1,576,779.25
1,585,836.32
1,586,1456.4
1,589,1048.93
1,593,1398.83
1,596,854.11
1,597,1031.88
1,599,1037.18
1,603,945.31
1,607,723.43
1,609,686.56
1,613,1218.33
1,624,628.63
1,628,1000.06
1,630,779.32
1,632,1254.97
1,633,1267.01
1,638,26.04
1,641,401.29
1,644,313.0
1,646,1204.74
1,658,700.29
1,675,1310.65
1,676,823.78
1,686,827.03
1,688,314.73
1,694,890.93
1,724,36.43
1,725,659.1
1,728,320.91
