Sourceid,Targetid,Weights
0,1,90921.14
0,2,2172.59
0,3,92.94
0,4,444.54
0,5,58796.31
0,6,200.45
0,7,332.71
0,8,385.78
0,9,290.48
0,10,833.46
0,11,1543.03
0,12,103.54
0,13,45.21
0,14,466.65
0,15,31.58
0,16,270.21
0,17,447.44
0,18,139.93
0,19,49239.53
0,20,98.95
0,21,73.86
0,22,91.32
0,23,14.76
0,24,62452.41
0,25,209.09
0,26,411.7
0,27,157.79
0,28,175.78
0,29,143.23
0,30,125.04
0,31,79435.14
0,32,32.13
0,33,178.73
0,34,31.14
0,35,140.4
0,36,491.06
0,37,37.79
0,38,59.89
0,39,224.31
0,40,378.19
0,41,263.01
0,42,182.08
0,43,12140.09
0,44,411.56
0,45,616.31
0,46,1611.7
0,47,100.52
0,48,304.9
0,49,67.94
0,50,203.29
0,51,533.55
0,52,331.99
0,53,14769.94
0,54,171.05
0,55,62.25
0,56,90996.59
0,57,28994.35
0,58,2480.01
0,59,128.8
0,60,351.35
0,61,298.08
0,62,109.67
0,63,47.45
0,64,852.02
0,65,103.11
0,66,126.48
0,67,444.98
0,68,147.46
0,69,408.19
0,70,1505.01
0,71,3265.32
0,72,27070.74
0,73,755.94
0,74,91.45
0,75,214.2
0,76,335.64
0,77,80.07
0,78,14281.55
0,79,49638.13
0,80,64.17
0,81,343.02
0,82,364.14
0,83,157.68
0,84,72.84
0,85,2065.7
0,86,174.22
0,87,258.1
0,88,4689.69
0,89,215.68
0,90,884.14
0,91,295.86
0,92,66.54
0,93,76.29
0,94,159.36
0,95,1094.82
0,96,93.71
0,97,550.29
0,98,56.92
0,99,187.42
0,100,138.86
0,101,118.46
0,102,110.82
0,103,183.46
0,104,1659.32
0,105,188.84
0,106,11808.81
0,107,135.01
0,108,37500.29
0,109,133.12
0,110,146.92
0,111,1388.31
0,112,11324.08
0,113,1296.82
0,114,231.69
0,115,261.45
0,116,609.16
0,117,1591.5
0,119,194.93
0,120,23913.02
0,121,148.85
0,122,91.31
0,123,628.27
0,124,12705.64
0,125,12747.16
0,126,137.48
0,127,200.6
0,128,216.56
0,129,28.13
0,130,316.53
0,131,44.85
0,132,9941.1
0,133,25501.5
0,135,9213.84
0,136,13499.22
0,137,48.02
0,138,7917.88
0,139,938.92
0,140,23041.54
0,141,247.77
0,142,433.12
0,143,79.76
0,144,2974.11
0,146,176.59
0,147,61.86
0,148,764.85
0,149,177.8
0,150,171.08
0,151,219.92
0,152,116.29
0,153,709.8
0,154,65.19
0,156,65.44
0,157,225.29
0,159,69.89
0,160,20251.1
0,164,89.19
0,165,250.6
0,166,110.68
0,167,35.15
0,168,325.75
0,169,244.3
0,170,9912.91
0,172,5190.62
0,175,111.5
0,176,40.34
0,177,299.95
0,179,165.48
0,181,5730.44
0,182,14.77
0,183,362.61
0,186,106.78
0,187,32.43
0,188,26800.13
0,190,272.78
0,191,1631.92
0,192,7875.64
0,193,20.37
0,194,1904.61
0,195,203.68
0,196,16.09
0,199,198.07
0,200,21.1
0,201,558.53
0,202,18.2
0,205,187.62
0,207,43.35
0,209,587.35
0,210,1763.84
0,211,22.9
0,212,6515.68
0,214,0.92
0,215,10350.47
0,218,135.23
0,221,93.4
0,223,216.13
0,227,336.26
0,228,502.98
0,229,41.06
0,232,112.17
0,234,32.67
0,235,41.3
0,236,36.02
0,237,65.39
0,238,6031.46
0,239,4401.89
0,240,28.0
0,242,5943.2
0,244,61.33
0,248,5989.09
0,249,183.05
0,251,1669.79
0,253,7083.28
0,255,4209.19
0,256,449.08
0,259,7689.05
0,260,806.73
0,262,139.22
0,264,2399.43
0,266,33.95
0,267,2473.01
0,268,7755.3
0,272,3323.25
0,273,1001.46
0,275,6869.59
0,276,5163.3
0,277,135.06
0,278,21.44
0,279,4721.76
0,284,124.63
0,285,84.94
0,287,4179.82
0,290,3393.62
0,291,2347.03
0,293,59.89
0,294,44.28
0,296,7483.18
0,298,3856.07
0,299,20.87
0,300,166.7
0,301,5396.61
0,303,168.38
0,305,3564.62
0,308,254.34
0,310,4830.15
0,311,90.12
0,315,8820.47
0,318,4280.81
0,321,35.39
0,323,2046.88
0,324,6.68
0,325,1766.41
0,326,101.22
0,328,3688.55
0,333,1682.42
0,339,86.0
0,340,267.57
0,345,214.37
0,349,5240.19
0,351,85.54
0,356,93.94
0,361,3414.01
0,372,408.06
0,380,2982.21
0,383,1345.35
0,384,2769.09
0,386,1039.56
0,389,1893.1
0,394,2983.32
0,397,137.63
0,404,285.33
0,410,1474.38
0,412,2289.1
0,414,3424.0
0,416,2244.35
0,417,1374.98
0,423,2542.13
0,428,811.1
0,433,122.68
0,434,2067.77
0,438,1168.83
0,443,10.2
0,446,4416.28
0,448,49.44
0,455,751.3
0,465,843.98
0,472,1034.14
0,474,1424.51
0,476,103.78
0,479,1547.16
0,485,140.8
0,486,1103.43
0,490,1836.22
0,492,715.24
0,493,440.64
0,494,1751.85
0,500,427.85
0,501,1613.16
0,504,72.38
0,509,2272.18
0,511,1839.53
0,518,1202.8
0,526,153.78
0,529,946.88
0,538,172.92
0,541,1448.41
0,544,13.9
0,548,1076.64
0,558,107.48
0,559,1837.46
0,560,1377.34
0,561,1057.96
0,563,1388.98
0,565,1191.35
0,576,779.25
0,577,1587.47
0,578,1355.3
0,579,16.99
0,583,278.6
0,589,1048.93
0,593,1398.83
0,596,854.11
0,600,983.4
0,601,1121.44
0,605,340.38
0,615,657.04
0,616,1022.41
0,622,60.27
0,626,772.55
0,629,1305.48
0,630,667.86
0,633,1267.01
0,635,1084.22
0,637,886.87
0,640,881.44
0,644,313.0
0,647,356.16
0,649,768.15
0,651,19.5
0,656,816.29
0,658,61.11
0,662,548.04
0,666,1196.68
0,675,1394.18
0,682,1018.18
0,683,227.02
0,684,261.04
0,686,827.03
0,696,1031.23
0,697,22.09
0,698,869.47
0,702,980.96
0,710,774.35
0,711,904.08
0,727,843.67
0,736,956.5
0,738,411.19
0,742,1027.88
0,743,775.28
0,749,950.19
0,752,142.88
0,753,949.0
0,787,473.45
0,791,0.08
0,792,446.82
0,797,474.94
0,806,412.25
0,807,96.27
0,816,745.64
0,818,598.84
0,821,668.87
0,824,518.48
0,829,216.06
0,840,385.58
0,841,679.04
0,850,674.41
0,852,599.7
0,856,623.62
0,858,737.75
0,859,698.82
0,861,6596.41
0,862,41.74
0,870,369.6
0,871,703.14
0,878,808.29
0,880,823.66
0,885,681.38
0,891,132.01
0,892,76.03
0,894,964.62
0,902,134.63
0,907,509.47
0,908,462.61
0,917,671.69
0,918,593.84
0,926,388.86
0,931,403.96
0,932,270.41
0,940,638.56
0,943,251.57
0,946,798.76
0,948,325.84
0,949,416.72
0,950,463.6
0,956,220.26
0,957,81.32
0,958,570.78
0,959,554.72
0,960,306.88
0,962,795.97
0,971,667.0
0,972,387.5
0,978,649.91
0,982,514.07
0,991,571.3
0,992,578.23
0,995,41.45
0,997,356.56
0,999,708.97
0,1003,598.95
0,1005,465.32
0,1009,659.59
0,1010,379.34
0,1017,121.36
0,1022,446.87
0,1036,534.28
0,1040,302.7
0,1043,460.78
0,1049,398.43
0,1052,461.42
0,1056,551.45
0,1065,508.93
0,1066,581.28
0,1068,104.63
0,1071,444.26
0,1087,432.68
0,1090,502.1
0,1091,370.52
0,1094,338.5
0,1099,455.47
0,1101,376.5
0,1103,447.34
0,1104,679.22
0,1106,469.48
0,1107,341.2
0,1110,398.31
0,1114,507.38
0,1116,251.17
0,1120,476.18
0,1122,695.66
0,1123,585.16
0,1127,346.01
0,1130,445.32
0,1131,408.35
0,1138,438.15
0,1146,359.16
0,1152,633.25
0,1163,20.36
0,1164,493.94
0,1165,154.84
0,1174,142.22
0,1179,234.94
0,1181,535.02
0,1184,359.22
0,1190,659.19
0,1192,246.61
0,1193,440.02
0,1201,187.3
0,1204,636.75
0,1205,385.73
0,1207,452.98
0,1211,178.78
0,1214,176.39
0,1219,494.28
0,1221,524.87
0,1222,310.66
0,1223,192.68
0,1225,494.83
0,1229,41.48
0,1231,559.85
0,1236,372.54
0,1239,337.27
0,1246,456.06
0,1249,415.02
0,1250,536.17
0,1251,405.7
0,1253,342.86
0,1254,416.42
0,1259,150.47
0,1263,435.32
0,1264,178.6
0,1269,347.47
0,1276,310.35
0,1280,312.55
0,1281,348.11
0,1283,109.04
0,1287,364.35
0,1292,336.01
0,1293,430.35
0,1294,449.51
0,1298,308.34
0,1301,403.3
0,1302,546.8
0,1304,546.08
0,1307,1977.7
0,1308,280.97
0,1310,310.15
0,1321,429.27
0,1322,259.29
0,1325,429.49
0,1330,444.41
0,1333,174.36
0,1337,402.97
0,1338,347.84
0,1341,162.0
0,1346,448.29
0,1347,179.79
0,1348,94.14
0,1355,235.65
0,1361,303.88
0,1366,363.58
0,1368,277.39
0,1369,387.04
0,1372,272.43
0,1375,116.75
0,1376,286.92
0,1378,328.68
0,1384,171.46
0,1386,199.3
0,1387,374.82
0,1390,450.33
0,1397,159.79
0,1399,565.61
0,1404,333.74
0,1405,380.72
0,1413,195.42
0,1415,392.55
0,1416,418.87
0,1420,372.66
0,1424,308.32
0,1427,304.71
0,1446,337.25
0,1454,154.91
0,1471,234.35
0,1472,342.26
0,1479,125.49
0,1484,294.85
0,1488,214.74
0,1489,317.83
0,1497,326.42
0,1502,1003.93
0,1505,318.99
0,1510,237.58
0,1511,289.71
0,1512,299.51
0,1516,249.61
0,1522,320.79
0,1524,430.96
0,1526,285.07
0,1533,226.72
0,1538,470.84
0,1543,362.13
0,1544,363.35
0,1547,318.95
0,1548,256.94
0,1553,321.22
0,1559,383.48
0,1563,324.97
0,1564,116.91
0,1565,438.44
0,1583,277.52
0,1589,314.04
0,1599,344.86
0,1602,254.51
0,1604,229.55
0,1605,222.65
0,1608,314.86
0,1611,249.24
0,1614,203.42
0,1615,217.84
0,1616,289.44
0,1618,51.87
0,1620,299.66
0,1631,246.96
0,1632,323.87
0,1634,165.02
0,1640,301.85
0,1641,321.69
0,1649,427.04
0,1653,236.73
0,1655,293.41
0,1662,316.73
0,1666,137.79
0,1667,419.29
0,1670,356.75
0,1672,242.35
0,1678,305.22
0,1687,39.95
0,1692,343.52
0,1698,288.17
0,1704,191.3
0,1705,329.94
0,1707,287.7
0,1710,254.62
0,1713,271.08
0,1714,41.89
0,1717,290.38
0,1723,169.48
0,1725,203.8
0,1731,159.21
0,1732,203.8
0,1734,325.77
0,1740,346.45
0,1741,279.27
0,1746,300.79
0,1747,374.55
0,1752,171.98
0,1757,408.98
0,1763,312.8
0,1774,174.6
0,1778,228.74
0,1789,316.38
0,1796,232.36
0,1804,135.01
0,1806,209.29
0,1808,280.97
0,1821,319.11
0,1824,246.4
0,1836,143.75
0,1839,224.43
0,1843,272.03
0,1847,295.2
0,1849,110.82
0,1854,177.31
0,1856,246.3
0,1861,248.01
0,1862,228.12
0,1867,261.4
0,1874,268.72
0,1877,127.45
0,1882,206.55
0,1884,286.67
0,1885,218.5
0,1889,149.29
0,1890,301.52
0,1891,275.21
0,1892,262.36
0,1898,115.18
0,1901,135.02
0,1908,253.14
0,1911,282.91
0,1916,168.63
0,1917,206.17
0,1919,196.79
0,1929,201.09
0,1934,165.88
0,1956,137.6
0,1958,145.39
0,1960,285.24
0,1962,231.68
0,1965,149.25
0,1971,307.99
0,1982,262.47
0,1995,219.58
0,1997,147.57
0,1999,240.36
0,2004,207.72
0,2005,183.53
0,2008,177.73
0,2011,260.55
0,2014,191.6
0,2017,242.53
0,2019,165.5
0,2022,280.53
0,2024,358.64
0,2040,256.79
0,2052,141.29
0,2053,178.93
0,2056,226.15
0,2063,244.72
0,2065,250.05
0,2068,213.13
0,2070,48.09
0,2071,122.36
0,2077,184.54
0,2080,177.71
0,2082,205.41
0,2083,182.87
0,2084,248.01
0,2087,172.13
0,2092,111.47
0,2093,198.66
0,2094,94.33
0,2097,218.1
0,2103,223.36
0,2105,170.12
0,2114,204.89
0,2119,161.31
0,2121,204.72
0,2129,204.28
0,2136,247.68
0,2141,253.78
0,2142,29.41
0,2144,189.01
0,2148,143.8
0,2152,201.69
0,2164,193.53
0,2180,231.98
0,2182,159.75
0,2185,217.73
0,2188,146.41
0,2191,94.35
0,2196,418.73
0,2197,181.73
0,2207,260.91
0,2211,191.87
0,2212,39.69
0,2228,164.86
0,2238,170.19
0,2239,146.29
0,2241,213.25
