Sourceid,Targetid,Weights
0,1,46.69
0,2,75.16
0,3,190.96
0,4,23703.55
0,5,35.15
0,6,90.12
0,7,313.86
0,8,57.18
0,9,2458.78
0,10,187.85
0,11,284.31
0,12,43.62
0,13,34.5
0,14,358.33
0,15,1185.12
0,16,70.21
0,17,268.45
0,18,176.74
0,19,72.03
0,20,93460.15
0,21,35.53
0,22,744.59
0,23,32886.73
0,24,1478.14
0,25,68291.57
0,26,29.52
0,27,90381.39
0,28,4209.12
0,29,147.46
0,30,380.04
0,31,231.36
0,32,126.9
0,33,171.05
0,34,1424.4
0,35,3427.79
0,36,42201.44
0,37,148.39
0,38,39.67
0,39,198.45
0,40,226.18
0,41,24768.9
0,42,5163.01
0,43,25911.96
0,44,19838.39
0,45,1061.64
0,46,75706.63
0,47,269.72
0,48,316.0
0,49,108.21
0,50,127.28
0,51,1068.15
0,52,496.5
0,53,55.79
0,54,256.43
0,55,143.04
0,56,82.24
0,57,58.27
0,58,204.56
0,59,163.92
0,60,94.55
0,61,212.66
0,62,256.17
0,63,401.97
0,64,11189.18
0,65,3330.52
0,66,46.4
0,67,183.36
0,68,175.4
0,69,118.69
0,70,279.12
0,71,137.28
0,72,138.42
0,73,43.12
0,74,69.54
0,75,170.14
0,76,103.48
0,77,261.93
0,78,247.66
0,79,131.37
0,80,76.68
0,81,352.82
0,82,7.58
0,83,190.89
0,84,126.05
0,85,28.92
0,86,247.42
0,87,17114.04
0,88,405.31
0,89,102.28
0,90,154.57
0,91,561.63
0,92,305.09
0,93,20.76
0,94,144.71
0,95,57.0
0,96,58.36
0,97,55.9
0,98,25.58
0,99,548.26
0,100,6036.26
0,101,21.64
0,102,136.49
0,103,719.11
0,104,391.77
0,105,67.29
0,106,1939.16
0,107,7779.44
0,108,84.25
0,109,335.03
0,110,594.67
0,111,152.65
0,112,320.3
0,113,198.66
0,114,120.85
0,115,2467.47
0,116,36.28
0,117,104.93
0,121,303.33
0,123,487.79
0,124,6.71
0,125,112.45
0,126,91.43
0,128,6445.43
0,129,42.09
0,130,70.28
0,131,828.6
0,132,147.63
0,133,550.82
0,135,134.42
0,136,17162.56
0,137,40.05
0,138,7360.68
0,139,15341.42
0,140,301.64
0,141,13881.18
0,142,123.59
0,143,202.95
0,144,126.56
0,145,63.74
0,146,49.85
0,147,158.64
0,148,228.43
0,149,73.55
0,151,277.3
0,153,58.41
0,154,20104.61
0,157,69.47
0,159,119.0
0,160,28.68
0,162,9705.0
0,163,10889.75
0,164,92.86
0,166,18596.42
0,167,10794.66
0,168,91.01
0,169,115.73
0,170,102.0
0,171,3.02
0,173,184.47
0,174,66.19
0,175,17815.95
0,176,14164.1
0,177,16076.78
0,178,306.0
0,180,1895.28
0,181,335.2
0,183,95.52
0,185,37.79
0,188,6384.73
0,190,66.7
0,191,161.26
0,193,73.37
0,194,118.78
0,195,1982.76
0,196,63.46
0,197,3072.54
0,199,1182.03
0,200,143.03
0,201,8367.76
0,202,36.61
0,203,7079.71
0,205,12.95
0,207,109.77
0,208,3985.76
0,209,63.16
0,210,2041.6
0,213,98.67
0,214,0.92
0,215,10703.65
0,217,168.92
0,218,55.39
0,220,503.73
0,221,221.49
0,222,19.22
0,223,948.93
0,224,3660.34
0,225,10.56
0,226,6970.03
0,227,966.98
0,228,416.97
0,229,287.14
0,230,391.67
0,231,201.36
0,232,1135.74
0,233,186.36
0,234,71.68
0,236,107.51
0,237,165.19
0,238,107.18
0,239,4731.42
0,242,6711.47
0,243,322.65
0,244,375.43
0,245,516.76
0,247,1417.1
0,248,66.1
0,249,7143.65
0,250,2221.01
0,251,4659.69
0,252,77.87
0,254,87.93
0,256,7.45
0,257,47.02
0,258,50.87
0,259,143.51
0,260,143.5
0,261,71.68
0,265,1733.42
0,267,1661.03
0,270,151.39
0,273,1001.46
0,275,40.58
0,276,148.27
0,277,91.32
0,279,227.45
0,284,6583.0
0,287,5743.13
0,289,1800.27
0,292,154.65
0,295,68.83
0,297,81.18
0,300,2889.82
0,301,130.6
0,309,3723.46
0,311,7147.4
0,313,388.07
0,315,8820.47
0,316,5469.06
0,317,226.16
0,319,441.34
0,329,31.62
0,330,2561.65
0,334,17.52
0,337,336.17
0,341,4259.09
0,344,542.94
0,353,317.81
0,355,4498.52
0,358,1229.76
0,361,11.91
0,362,2723.84
0,363,902.13
0,374,118.06
0,375,142.17
0,382,183.05
0,385,93.32
0,387,2874.34
0,390,118.2
